referee 仲裁者；裁判员；就纠纷或争论给出意见
refine 提纯，精炼;改善，改进
reflect 反射；反映，显露；思考
refractory 倔强的，不顺从的
refulgent 辉煌的，灿烂的
refute 否认；证明为假，证伪
regenerate 使重获新生，使焕然一新；使洗心革面
regimen 政治上的统治
regress 后退；退化，恶化
rehabilitate 使复原，使康复；使洗心革面
rehearsal 排练，彩排
reign 统治权;占统治地位或盛行
rein 抑制，限制；抑制，控制
reiterate 重申
rejoice 欣喜，喜悦
relapse 故态复萌，再犯
release 排放；释放，使获得自由；解雇
relentless 残酷的，无情的；固执的，不肯妥协的
relevant 有关系的，重要的
religion 宗教，信仰；对于宗教信仰的忠诚，虔诚
relinquish 放弃职位，权力等；移交，交出
relish 喜好，偏好;愿望达成时的高兴，满足感；享受，喜欢
reluctant 不情愿的，反感的
remiss 疏忽的，不留心的
remodel 改造，改变结构
remonstrance 抗议，抱怨,
remorse 懊悔，悔恨
remunerate 支付报酬，补偿
rend 撕裂，猛拉
renegade 背教者，叛徒
renounce 正式地放弃；宣布与决裂
renovate 修复，维修；使重获新生，使焕然一新
repartee 机智的回答；打趣，善意的玩笑
repatriate 遣返
repeal 撤销，废除法律等;宣布与决裂
repel 抵制；使厌恶
repertoire 技术、设备或原料等的详单
repine 抱怨、表达不满；渴望
replete 彻底吃饱了的;充满的，富于的
repose 劳作后的休息;平静，宁静;休息;放置，交给他人
reprehend 谴责，责难，批评
repress 镇压；阻止正常的表达、活动或发展等
reprieve 对暂缓处刑，免罪；维持的运行
reproach 令人羞愧的事物，耻辱；批评，责备
reprobate 堕落者，道德败坏的人；堕落的，放荡的；谴责，痛斥；拒绝，不提供
reproof 批评，反对
reprove 温和地责备，警告；不欣赏，不喜欢
repudiate 否认；拒绝接受
repugnant 令人厌恶的；不和谐的，不协调的
repulse 使厌恶，排斥
repute 尤指好的名声，名誉
requite 酬谢，报答；报仇
requisite 必需品；必不可少的，必备的
rescind 废除，取消
reserved 内向的，缄默的
residue 剩余物
resign 辞职，放弃职位
resilience 弹力;恢复能力
resolute 坚定的
resonant 声音洪亮的，共鸣的
resourceful 有创造力的，机智的
respite 间歇，休息
respire 呼吸,
resplendent 华丽辉煌的
responsive 反应的，敏感的
restive 急躁的，忧虑的;难以管束的
restless 不平静的
restrain 限制，控制,
resurgence 复兴
resuscitate 使复活，使苏醒
retainer 家仆
retaliate 报复，反击
retard 减速，延迟
retinue 随行人员
reticent 沉默不语的；不愿意的
retort 尤指机智的回应，回答,
retouch 润饰，改进
retract 收回，否认
retrench 削减开支
retribution 报酬，报应
retrograde 倒退的；退步，退化
retrospective 回顾的
revelry 狂乐，喧闹的作乐
revenge 报复，复仇；为复仇
revere 尤指对神的尊崇，尊敬
revise 更改，修正
revive 恢复意识;再获新生
revoke 撤回，宣告无效
revolt 使厌恶，使反感;反叛
ribald 举止、言语下流粗鄙的
rickety 不稳的
rider 骑马的人；议案的附加条款
ridicule 嘲笑
rife 丰富的，普遍的
rift 分裂，不和；使开裂
rile 刺激，惹怒
ripen 使成熟，变成熟
riot 喧闹，暴乱
rite 惯例，仪式
rive 撕开
