veracious 诚实的，说实话的;精确的，准确的
verbatim 逐字地，一字不差地
verbose 冗长的，啰嗦的
verdant 因长满植物而翠绿的，郁郁葱葱的
verify 校验，证实
verisimilar 貌似真实的
veritable 真正的，确实的
vernacular 方言；非正式的，口头的
versatile 多才多艺的，全能的；易改变的
verse 使精通，使熟悉；诗歌
vertigo 眩晕
verve 活力，热情
vessel 管;船，舰艇
vestige 微小的痕迹；小痕迹
vestigial 退化的，发育不全的
veteran 老兵；有丰富经验的人；经验丰富的，资深的,
veto 否决，禁止,
vex 使烦恼，使恼怒
viable 可行的
vicarious 代理的，取代的
vicious 凶恶的，恶毒的;猛烈的
vicissitude 自然变化，变迁兴衰
victimize 使受骗
vigilant 警醒的，警惕的
vignette 简介，短文
vigorous 精力旺盛的；强健的
vilify 诽谤，辱骂
vim 活力，精力
vindicate 为平反，为辩护，使无罪;证明，证实
vindictive 复仇的，有寻仇倾向的
virtuoso 艺术鉴赏家，专家；经验丰富的，技艺精湛的
virtuous 品德高尚的，正直的
virulent 有毒的；凶残的
viscid 有粘性的
viscous 粘稠的，粘的
visionary 空想的，不切实际的;幻觉的;有远见的
vitality 活力，生命力
vitiate 削弱，损害;在道德、审美上降低，堕落
vitriolic 言辞刻薄的
vituperate 谩骂，责骂
vivacious 活泼的，快活的
vociferous 喧哗的，大叫大嚷的
volatile 多变的
volition 意志，自愿选择的行为
voluble 健谈的，多话的
voluminous 卷数多的，大量的，庞大的
voluptuous 奢侈逸乐的，沉湎酒色的
voracious 有很大食量的，贪吃的；贪婪的，如饥似渴的
votary 崇拜者，信徒
vouch 担保，声称为真
vulgar 粗俗的，无教养的；口头的，非正式的
vulnerable 易受攻击的，脆弱的
waddle 摇摇摆摆地走:
waffle 胡扯
waft 飘荡，漂浮
wag 诙谐幽默的人；摆动
wan 苍白的，病态的
wanderlust 旅游癖
wane 减少，衰退，降低
want 短缺；渴望
warmonger 好战者
warp 使偏向；扭曲，变形；曲解
warrant 向保证质量；批准，认可
wary 小心的，机警的，谨慎的
wastrel 肆意挥霍的人，败家子
watershed 重要关头，分水岭
wax 月亮渐满；用蜡涂、处理或上光；增大，增强
waylay 埋伏，伏击
welter 混乱，动乱
wheedle 用花言巧语诱惑，哄骗
whet 磨快
whiff 微风；细微的信号，轻微痕迹
whimsical 反复无常的
wholesome 有益身心健康的
wicked 邪恶的
wince 畏缩
windbag 健谈的人
windy 冗长的
winsome 迷人的，漂亮的
wit 机智，智慧;智者，有智慧的人
withdraw 撤退
wither 枯萎，凋谢
withhold 抑制；扣压，不给予
wizen 使凋谢，使枯萎；凋谢的，枯萎的
wobble 摇晃，颤抖；犹豫不决
worldly 世间的，世俗的;老练的
worship 崇拜，敬仰；崇拜，膜拜
wrangle 纷争，争端；争吵
wretched 极差的;沮丧的
wry 扭曲的;坚持错误的
xenophobe 仇视或畏惧外国人或外国事物者
yoke 连接
yokel 乡下人，天真纯朴的人
zeal 热心，热诚
zealot 狂热者
zenith 最高点，巅峰
zesty 刺激的，开胃的
