topsy-turvy 混乱的
torpid 麻木的，没有知觉的；迟钝的，行动迟缓的
torpor 缺乏兴趣;肉体或精神上的迟钝，懒散
torrential 急流的
torrid 酷热的；热情的，情感深厚的
tortuous 转弯抹角的
tout 极力赞扬
toy 草率或不认真地对待
tractable 易驾驭的，温顺的
tranquility 宁静，淡定
transcend 超越，超过极限
transfigure 使改变外观,
transgress 违背，犯错,
transient 短暂的，瞬时的
transitory 短暂的
translucent 透明的,
transparent 透明的；没有歧义的，清晰易懂的
travail 辛苦劳动
traverse 横穿
travesty 拙劣的，嘲弄性模仿
treacherous 背叛的
trenchant 锐利的；言辞一针见血的
trepidation 恐惧，战栗
trespass 非法入侵；违反；冒犯
tribute 称颂，颂词
trickle 一滴一滴地流，缓缓地流
trite 陈腐的，陈词滥调的
trivial 琐碎的，无足轻重的
truant 逃避责任的；逃避责任者,
truce 休战，休战协定
truculent 尖酸刻薄的；好战的，好斗的
trudge 吃力而笨拙地走
trumpet 大声说出或宣告
truncate 截短，缩短时间、篇幅等
truss 系紧，扎紧
tumult 骚乱，暴动,
turbid 混浊的
turbulent 动荡的；湍急的，汹涌的
turgid 浮夸的，过分装饰的
turmoil 骚动，混乱,
turncoat 叛徒,
turpitude 卑鄙
twig 了解
typo 打字错误
tyro 新手，业余爱好者,
ubiquitous 无所不在的，普通的,
unassailable 无可争辩的，无法否认的，不可亵渎的
uncanny 离奇的，奇异的
uncouth 粗俗的，没有品位的
unctuous 油嘴滑舌的，谄媚的；夸张的，做作的,
underdog 受害者，输家/
undergird 加强，巩固的底部
undermine 削弱，破坏,,
underscore 强调
understate 保守陈述
understudy 替补演员
unexceptionable 无懈可击的
unflappable 镇定的，从容不迫的
ungainly 笨拙的，不雅的
unimpeachable 无可置疑的
unkempt 凌乱的，无序的
unlettered 未受教育的，文盲的,
unpretentious 低调的，谦逊的；坦诚的，自然的
unproductive 徒然的，无效的
unrequited 无报答的，无报酬的
unruly 难驾驭的，不守规矩的
untenable 防守不住的，站不住脚的
untold 数不清的，无数的
untoward 倒霉的，不吉利的;难以驯服的，难以驾驭的
unwitting 不知道的，未觉察的；偶然的，并非有意的,
unwonted 不习惯的，不寻常的,,
upbraid 严厉地谴责，责骂
uphold 支持，赞成
urbane 彬彬有礼的，文雅的
usurp 篡夺，篡位
utter 出声，说话；完全的，绝对的
vaccinate 预防接种疫苗
vacillate 犹豫不决；摇动，摇摆
vacuous 茫然的，愚蠢的
vagary 不可预测的思想或行为,
vague 表达不清的;轮廓不清晰的
valediction 告别；告别词
valiant 勇敢的，英勇的
valid 逻辑上正确的
vanquish 打败，征服
vapid 无趣的，乏味的
vaporize 使液体蒸发;彻底消灭
variance 不一致，不和谐
variegated 杂色的，斑驳的
varnish 上清漆，使有光泽；粉饰令人不悦的东西
vault 跳起，跳跃;一跃而至
vaunt 吹嘘
veer 使转向，使改变航线
vehement 情感强烈的，热情的
venal 贪污受贿的
vendor 小贩，商贩
veneer 薄木板，用以贴在家具外面的饰面板;粉饰不好的东西
venerate 尊敬
venial 可宽恕的
venom 毒液；恶意，恶毒的用心
