creep 缓慢地行进；匍匐前进
crescendo 声音渐强；渐强之后到达的顶峰
crest 顶部，浪尖，山顶
crestfallen 垂头丧气的，沮丧的
cronyism 任人唯亲的，对好朋友的偏袒
crook 使弯曲
croon 低声歌唱或说话
crouch 蹲伏
crucial 非常重要的，决定性的
crumple 弄皱；因外力挤压而垮塌
crutch 支撑，支柱
crux 中点，关键点
cryptic 秘密的；含义模糊的；超出理解能力的
culpable 该受谴责的，有罪的
cultivate 提升，加强；种植，培养
cumbersome 笨重的，难处理的
cunning 狡猾的；手工灵巧的；欺诈，欺骗
curmudgeon 脾气坏的、爱抱怨的人
cursory 匆忙的，不注意细节的
curt 言词简略的，直接以至显得粗鲁的,;言简意赅的
curtail 缩短，削减
cynic 愤世嫉俗者
dabble 涉猎，对浅尝辄止
daft 神经错乱的;不明智的
dais 主席台，嘉宾席
dally 虚度时光；玩乐；慢吞吞，磨磨蹭蹭
damper 抑制因素,
dandy 纨绔子弟，爱打扮的人；最佳的，最好的
dank 阴湿的
dapper 衣冠整洁的
dappled 有斑点的，带花的,色彩斑斓的
daredevil 大胆鲁莽的人；不考虑后果的
dart 突然移动，猛冲，狂奔；公开侮辱
daunt 使胆怯，吓到
dawdle 闲荡，虚度光阴;拖拖拉拉
deadpan 无趣的，无生气的，不活泼的
dearth 供应不足
debacle 溃败
debark 使下船飞机、车等；卸客、货,
debase 贬低，贬损
debilitate 使衰弱
debris 废墟,
debunk 揭穿的真面目；证明为假
debut 初次登台，出道
decadence 衰落，颓废,
decant 轻轻倒出
decipher 破译；对有清晰的想法，理解，解读
decode 解码；对有清晰的想法，理解，解读
decorum 礼仪，得体,
decrepit 虚弱的，衰老的，破旧的
default 不履行义务，玩忽职守
defer 推迟，延期；遵从
deference 尊崇，顺从
deficiency 缺乏，不足
defile 山间小道，亵渎，使损坏，污损
deft 灵巧的，熟练的
defuse 抚慰，减轻
defy 反抗，违抗
dehydrate 去除水分，使干燥；使失去活力
deify 把当作神来崇拜；过分喜爱;尊敬，尊崇
deject 使沮丧,
deleterious 有害的
deliberate 深思熟虑的
delicacy 外貌、结构等精致，极度兴奋，发狂
delirium 精神错乱；极度兴奋，发狂
delusion 错觉，妄想
deluge 大暴雨；大量
delve 探究，钻研
demagogue 蛊惑民心的政客
demanding 难以取悦的，难满足的；费时间花心思的
demolition 破坏，毁坏
demonstrate 通过证据证明，表明；使明白易懂；表现，表露
demoralize 使士气低落；贬低，使堕落
demotic 通俗的，大众化的
demur 表示异议，反对;犹豫
denigrate 诋毁，污蔑
denouement 小说的结局
denounce 公开指责；宣称道德上错误、可耻
dent 凹陷，凹痕；数量，程度上削弱
denude 脱去，使赤裸
deplete 耗尽，使衰竭
deplore 哀悼
deploy 有目的地展开；调度，部署
deportation 放逐
depose 宣誓作证；废黜，罢免；摆放
deposit 自然积累，沉积，矿藏；存钱
depravity 道德败坏,
deprecate 不喜欢；贬低，轻视；降低的重要性，使低调
depreciate 贬低的价值；轻视,
depressed 不开心的，情绪不高的，消沉的；生活境况悲催的
deprivation 匮乏
deracinate 根除
derelict 玩忽职守的，不认真的;被社会遗弃的人
deride 嘲弄，嘲笑
derivative 非原创的
descend 下降；世代相传
descendant 后代
desecrate 亵渎，玷污
desiccate 使食物脱水以保存，使干燥；使缺乏活力
designate 任命；命名
