spent 精疲力竭的
spindly 细长纤弱的
spiny 多刺的；棘手的，麻烦的
spleen 怒气，怨恨
splice 接合，叠接
spontaneous 自发的，不经思索的
spoof 轻松幽默的模仿，小恶搞；诱骗，诱使相信
sporadic 偶尔的，零星发生的
sprawl 杂乱无序地发展；蔓生，蔓延
sprightly 活泼的，充满活力的
spur 刺激物；支撑物；刺激，激励
spurious 假的，伪造的
spurn 摒弃，拒绝
squabble 口角，小争吵
squalid 污秽的，肮脏的；道德败坏的
squall 通常伴随雨或雪的风暴，暴风雪，暴风雨；尖叫
squander 使分散；浪费
squat 又矮又胖的,
squint 斜视，睥睨
squelch 压制，镇压运动;击溃，使无言以对
stabilize 使稳定；变得稳定
stalwart 无所畏惧的；体魄等强健的；坚定的,
stamina 耐力；
stammer 口吃，结巴
startle 使吓一跳，使大吃一惊
static 静态的；停滞的;无改变的
stature 高度，身高；才干，水平,
steadfast 坚定的，忠诚的
stealth 秘密行动；秘密的
steep 浸泡；陡峭的；过分的，过高的
stench 臭气，恶臭
stentorian 声音洪亮的
sterile 贫瘠的；无菌的
stickler 坚持细节的人，一丝不苟的人
stiff 僵硬的，无法弯曲的；在社交场合缺乏优雅的，不自在的;过分的，过高的；艰苦的，费力的
stifle 抑制声音、呼吸等；阻止，扼杀
stigma 耻辱，污名
stint 吝惜，节省
stingy 小气的，吝啬的；极少量的
stipple 雕刻时点刻，用点标记
stipulate 规定，特定要求
stitch 突然剧痛
stock 库存，储备；普通的，常备的
stockade 栅栏，围栏；监狱
stodgy 平庸的，乏味的；非常守旧的
stoke 添加燃料；增大，促进
stoic 隐忍的，冷静的
stolid 无动于衷的，感情麻木的
stomach 容忍
stonewall 拒绝合作，阻挠,
stouthearted 勇敢的,
stratagem 谋略，策略
strait 海峡;痛苦
strand 绳，线之一股；遗弃，使置之困境
stratify 将分成各种等级
stray 漫无目的；离群，迷途，偏离,
strength 力量；抵抗攻击、压力的强度
striate 加条纹
stricture 责难，批评
stride 迈大步走
strident 刺耳的
strike 攻击;铸造奖牌;击打;袭击，攻击；撞击
stringent 紧绷的；严格的
strip 脱衣，剥去
strut 趾高气昂地走；支柱，压杆
studio 工作室，画室，摄影室
stultify 使无效，抑制
stupor 迟钝，麻痹，无知觉
stunt 阻碍成长
sturdy 强健的，结实的
stygian 极阴暗的
stymie 阻碍
subdue 使顺从；征服
subject 臣民，受支配的人；取决于其他因素的
subjugate 征服，镇压;剥夺的自由
sublime 崇高的，庄严的；因为杰出、尊贵、美丽等而令人惊叹的
subliminal 下意识的，潜在意识的
submerge 使淹没
submissive 服从的，顺从的，恭顺的
subordinate 下级的，次要的；征服
subservient 奉承的，屈从的
subside 下陷，下沉，减弱
subsidiary 次要的；起辅助作用的,
subsidy 补助金，津贴
substantial 物质的；有重大意义的
substantiate 证实;使实体化
substantive 本质的，关键的
subterfuge 诡计
subtle 微妙的，难以感知的；巧妙的，间接或带有欺骗性的
subvert 颠覆
succinct 简明的，简洁的,
succor 救援，援助
suffocate 使窒息
suffuse 色彩等弥漫，染遍，充满
sulk 生气，愠怒
sullen 闷闷不乐的
summary 摘要；就地的，立即的
summit 顶点
summon 召集，召唤；传唤出庭、出席
sumptuous 豪华的，奢侈的
