sunder 分裂，分离
supercilious 高傲的，傲慢的
superficial 表面的，肤浅的
superfluous 多余的，过剩的
superimpose 添声加色使形象、某因素或性质更加清楚
supine 懒散的，倦怠的，消极的，漠不关心的,
supple 易弯曲的，柔软的,
supplant 排挤，篡夺的位置
supplement 增补，补充
supplicate 恳求，乞求
supposition 猜想，推测
suppress 抑制表情;用暴力终止，镇压,
surcharge 过高收费
surfeit 使过量，使饮食过度
surrender 交出，放弃，投降;使沉溺于
surreptitious 偷偷摸摸的，保密的
susceptibility 易受感染的性质或状态
suspend 暂停，中止；悬挂
suture 缝合
svelte 女人体态苗条的，优雅的
swagger 大摇大摆地走，趾高气昂地走;自夸，吹嘘
swear 咒骂；宣誓
sweltering 酷热的
swerve 突然改变方向
swill 痛饮，大口地吃,
swindle 欺骗，骗取
sybarite 沉溺于奢侈逸乐者，酒色之徒
sycophant 马屁精
syllabus 提纲，摘要；课文、演讲或研究课题的概要或提纲
syllogism 由一般到个别的推理，演绎,
symbiosis 共生关系
symmetry 对称
synchronous 同时期的，同步的
synergic 合作的
synonymous 同义的
synopsis 摘要，概要,,
synthesis 合成，综合
tacit 暗示的,
taciturn 沉默寡言的，话少的
tackle 着手处理
tact 机敏，精明，不冒犯,
tactile 有触觉的，能触知的
tactless 不机智的，笨拙的,
talisman 护身符,
taint 使品质污损
tamper 恶意篡改，损害；玩弄
tangent 离题的，不相关的
tangible 可感知的；确凿的，真实的
tangy 刺激的
tantalize 激起，挑逗，引诱
tantamount 等价的，与相等的
tantrum 勃然大怒，发脾气
taper 使逐渐变细;逐渐减少，减弱
tardy 缓慢的，迟缓的；延后的，迟的
tarnish 玷污
tasty 美味的；令人愉悦的
tatty 破旧的，褴褛的
taunt 嘲弄性质疑，挑衅,
taut 紧绷的；整洁的,
tawdry 俗丽的，花哨而庸俗的
taxing 繁重的，费力的,
tedious 冗长乏味的,,
teeter 蹒跚，不稳定地行走；犹豫不决
teetotalism 禁酒
telling 有效的，显著的
temerity 莽撞，冒失
temporize 行动躲躲闪闪以争取时间、躲避争论等
temperate 言行举止有分寸的；有节制的
tempestuous 突然的，剧烈的
tenable 有据可依的，无懈可击的,
tenacious 顽固的，不屈不挠的；粘着的
tendentious 有偏见的
tender 正式提出；考虑周到的，关心同情的
tenuous 没有实际内容的，空洞的
tepid 不太热心的
terminology 专业术语
terminus 终点，终点站
terror 极度恐惧
terse 简洁的，简明的
testimony 证词，声明
testy 易怒的，暴躁的,
tether 用绳、铁链拴系、束缚;能力或忍耐力的极限
theatrical 做作的，夸张的，矫揉造作的
therapeutic 治疗的，有疗效的
thorny 多刺的;棘手的
threadbare 陈腐的；贫穷的；破烂的
throng 大量聚集
thwart 阻挠
ticklish 易怒的；棘手的，对技巧要求高的
tiff 小争吵
tightfisted 吝啬的
timeworn 陈腐的
timid 胆小的，不自信的,
timorous 胆小的
tinge 给着上少量的色彩,
tinker 乱修，乱调整
tint 涂浅色，微染
tirade 长篇抨击性演讲
toady 马屁精；拍马屁,
tonic 滋补的，有益健康的,
