doff 脱下,
dogged 坚持的，坚决的,,]；固执的，任性的
dogma 教条，信条
doldrums 低迷，中断；情绪不佳
dolorous 忧伤的,
dolt 笨蛋
domicile 住所，住宅；为提供住处
dominant 处于支配地位的；基因显性的
don 穿上
donor 捐赠人，给体
doodle 无目的地乱涂乱画；漫无目的地打发时光
dormant 静止的，不活跃的；动物冬眠的
dour 闷闷不乐的，死气沉沉的；严厉的
douse 熄灭；弄湿
downplay 轻描淡写，不予重视
downpour 倾盆大雨
doyen 有经验的人，资深人士；加入时间较长的高级会员
doze 小憩
draconian 极其残酷的，十分严厉的
drawl 慢吞吞地说
dreary 单调乏味的；令人不悦的
drench 使湿透，浸透
drivel 胡言乱语；胡言乱语，说傻话
drizzle 下细小、轻柔、似雾的雨，毛毛雨
droll 古怪有趣的，离奇可笑的
drone 低沉单调地说；嗡嗡地叫；昆虫振翅般单调嗡嗡的声音；混日子
drudgery 苦工；单调、卑贱或无趣的工作
dubious 充满不定性的，值得怀疑的;对事实等持怀疑态度的;迟疑不决的，不愿行动的
ductile 可塑的，有延展性的；易受影响的
dulcet 悦耳的，令人愉悦的
dullard 笨蛋
dupe 复制品，复制；易受骗的人；欺骗
duplicity 欺骗，口是心非
dwindle 逐渐减少
dyspeptic 脾气坏的；消化不良的
earnest 严肃认真的
earshot 听力所及的范围
earsplitting 震耳欲聋的
eavesdrop 偷听
ebullient 热情奔放的
eccentric 行为出格的，不循规蹈矩的
éclat 辉煌成就
eclipse 下降，衰退；使声望下降，使黯然失色；在数量、品质上超越
ecstasy 无法自控的情绪；狂喜
ecumenical 全球基督教会的；世界范围的，普遍性的
edible 可食用的
edifice 大厦；大建筑物；基础，基本构架
efface 擦掉，抹去；使不明显
effervesce 冒泡；兴奋，热情洋溢
effete 衰弱的，衰落的；缺乏信念的，懦弱的
effluvium 难闻的气味；没有的副产品，废品
effrontery 厚颜无耻，放肆大胆,
effulgent 光辉灿烂的
effusive 感情泛滥的／溢于言表的；感情表达不节制的／过度的；过分多情的:
egalitarian 平等主义的
egoistic 利己的，以自我为中心的
elaborate 详细的，复杂的；详细阐述
elastic 有弹性的；能迅速从伤痛中恢复的
elate 使开心，使自豪
eleemosynary 慈善的
elegy 哀歌诗，挽歌诗
elephantine 巨大的；笨拙的
elevate 在道德、智力、文化水平上提升；使兴奋
elicit 激起，唤起
elliptical 含糊不清的；椭圆的
elucidate 阐明
emaciate 使消瘦，使衰弱；削弱
emancipate 解放，解除束缚
embargo 贸易禁止令
embark 上船；开始从事
embarrass 使尴尬；阻挠，制造障碍
embed 嵌入
embezzle 盗用
embolden 鼓励，使大胆
emboss 以浮雕效果妆点，装饰
embrace 乐于接受;保围
embroider 时常伴有夸张和想象内容地详细说明
emigrate 移民，移居海外
eminent 杰出的
emollient 起缓和作用的
emulate 效仿并努力超越
enact 制定或颁布法律
enamel 涂亮漆；使具有光滑或亮泽的表面；用亮丽的表面装饰
encomium 赞颂之词
encompass 组成，包含；包围
encumber 阻碍，妨碍；给增添负担
endemic 地方性的
endorse 公开支持，推崇
enervate 使衰弱；使麻木
enfranchise 给予权力例如选举权；解放
engender 引起，使发展；产生，出现
engross 使全神贯注
enigma 难以理解或解释的事物，谜
enlighten 使知道，启发;在道德或精神上进行教育
enmity 敌意
ennoble 使尊贵
ennui 倦怠；缺乏兴趣,
ensemble 合唱，合奏曲
ensconce 安置；隐藏
ensue 紧随其后
