groggy 虚弱的，走路不稳的；无法思考的，头脑不清的
grudge 怨恨，仇恨
grumble 尤指低声地抱怨，埋怨
halfhearted 不感兴趣的，不热情的
heckle 起哄，使难堪
hierarchical 分等级的，等级制的
hobble 跛行，蹒跚而行；阻碍，妨碍
humdrum 千篇一律，单调；无聊的，乏味的
humiliate 羞辱，使丧失尊严
hypothetical 假设，前提条件；假定的
idiosyncrasy 独特而奇怪的习惯
idle 闲置的，未使用的；懒散的；懒散度日，无所事事
ill-bred 没有教养的，没有礼貌的
illustrious 著名的，杰出的
imperishable 不能被摧毁的；不朽的，永恒的
implicit 不言而喻的，心照不宣的；无疑问的，无保留的
imposter 冒名顶替者，骗子
impunity 免责，免受处罚
incentive 刺激，诱因
incumbent 义不容辞的，必须的
indecorous 不合礼节的，不得体的
infraction 违背，违反
justify 证明的合理性，为辩解,
lag 最终的，最后的；缓慢行走；萎靡，失去活力
lance 长矛，标枪；刺穿，刺破
lax 松弛的，不紧的，不严格的；懈怠的，漫不经心的
license 许可，认可；自由；放荡；准许，授权使用
lionize 追捧，把捧为名人
ludicrous 荒唐的，可笑的
luminous 发光的，有光泽的；杰出的，重要的
lurid 恐怖的令人反感的；面色苍白的，病态的
machination 轨迹
madcap 热爱冒险的人；大胆的，鲁莽的
magnitude 重要，重大；巨大
malevolent 恶意的，恶毒的,，
malignant 恶毒的，邪恶的
maneuver 巧妙地操纵
marginal 边缘的；不重要的
meditate 思索，沉思
menial 仆人，奴仆；卑贱的，低下的
meretricious 艳俗的，俗气的
milieu 环境，氛围
military 军事的，军用的
misapprehension 错误的理解、判断；
monarch 君主，帝王；巨头，大亨
monopolize 垄断，主宰
nirvana 彻底放松的状态；天堂，极乐世界
nostalgia 思乡之情；怀旧，怀念
notoriety 尤指因为丑闻而出名的名人；坏名声
nourish 养育，培养；培养，促进
novice 新手，初学者
nullification 尤指法律条文等正式的废除，废弃
numb 失去感觉的；麻木的，无感情的
oaf 愚蠢的人
observant 警惕的，警觉的；严格遵守规章、制度或原则的
obsolete 过时的，被淘汰的
onset 攻击，进攻,起始，开始
ordeal 严峻的考验
ostensible 表面上的，佯装的
outgrowth 结果，后果
outmoded 过时的，废弃的
override 不顾
overshadow 使变黯淡,在重要性上超越，超过
overwhelm 淹没；感情上、精神上使无所适从，使难以忍受
overwrought 十分激动的，非常不安的；装饰、文风等过分华丽的
palaver 对话，交流；闲聊
palpitation 有节奏的舒张收缩
panacea 万能药，万灵药
peculiarity 特征，特点
pedagogical 教学的；教师的
peel 剥去的皮；脱去衣服等
perceptive 敏锐的；洞察力强的
perilous 危险的
perquisite 额外的好处
petulant 易怒的，爱发脾气的
pioneer 扩荒者，先驱者；最初的，最早的；开创，创造
pious 信仰上虔诚的；忠诚的,
pitfall 陷阱；不易察觉的危害
pivotal 最关键的，最为重要的
placid 宁静的，风平浪静的；冷静的，淡定的
playful 爱开玩笑的，好打闹的
plebeian 平民的，社会下层
plentitude 丰富，充沛；大量
plodder 行走缓慢的人
plush 味道等浓郁的；奢华的，豪华的
poach 水煮
pointer 仪表上的指针；忠告，建议
pragmatic 实用主义的，务实的
premeditate 预谋
prerequisite 先决条件，前提
prerogative 特权，权力
proclaim 宣告，使公之于众
project 方案，计划；凸出；预测，预计
proprietary 所有权；私营的
prototype 原型
rampant 植物生长茂盛的；猖獗的，不受限制的
ravenous 食量大的，贪食的；贪婪的
redeem 实践，履行诺言等；改过自新
refreshing 令人身心振奋的，提神的
remnant 残余，剩余物
