mingle 参加社交活动，混合，结合
minimize 将减到最少;刻意低估；表示鄙夷
mint 巨额；无损坏的
miniscule 极小的
minute 仔细的，谨小慎微的；小的，不重要的
minutiae 次要的细节，小事
mirage 海市蜃楼，幻想
mire 困境；使陷入困境，拖后腿
mirth 欢乐，欢笑
misanthropic 反人类
misbehaving 调皮的，行为不端的
mischievous 调皮的，淘气的；有害的
misconstrue 误解，曲解
miscreant 恶棍，罪犯
misdemeanor 轻罪
miserly 吝啬的
misfortune 不幸
misgiving 担忧，忧虑
mishap 不幸之事
misrepresent 误传，篡改
mite 微小的东西，很少的钱
mitigate 减轻痛苦，使缓和
mobile 可移动的；可变的
mockery 鄙视，嘲弄；以嘲笑为目的的模仿
moderate 使缓和；适度的，中庸的
modicum 少量
mollify 平息，抚慰，缓和
mollycoddle 宠爱，溺爱
molt 脱羽、皮等
momentous 极重要的
momentum 动力；冲力；势头
mongrel 杂种的，混血儿的
monochromatic 单色的；单调无聊的
monologue 独白
monotonous 声音单调的；清一色的，无聊的
montage 大杂烩
moratorium 延期，暂缓施行
morbid 疾病的，疾病所致的；思想性格变态的
mordant 尖酸刻薄的
moribund 即将结束的，垂死的；即将过时
morose 忧郁的,
mosaic 综合物，马赛克般的东西
mosque 清真寺
moth-eaten 过时的
motile 能动的
motivate 刺激，激发
motley 混杂的，富于变化的
mottle 标记上杂色斑点
motto 座右铭
mournful 悲伤的
movement 运动
muddy 不干净的；浑浊的，不清晰的；使难以理解
muffle 使消声
mulish 固执的
mumble 说话含糊
mundane 尘世的，世俗化的;平凡的
munificent 慷慨的
murky 黯淡的，昏暗的；模糊的，晦涩的
murmur 小声的话语；低声抱怨，发牢骚
mutate 使改变，使变异
mute 不说话的，缄默的;使颜色，音调等柔和；减弱声音
mutter 低声抱怨
myopic 缺乏远见的，缺乏辨别能力的
myriad 无限的，大量的
nadir 最低点
naive 天真纯朴的
narcissism 自恋
nascent 新生的
natty 整洁的，时髦的
nauseate 使厌恶，使作呕
nautical 航海的
naysay 拒绝，否认,
nebulous 模糊的
needy 贫穷的
nefarious 极坏的，邪恶的
negation 否定
negligent 疏忽大意的
negotiate 商量，谈判;谋划
neophyte 初学者，新手
nerve 坚强的意志，勇气;给予勇气，鼓励
nettle 惹怒
neutralize 中和;破坏，使无效
nexus 连结，核心，最重要的地带
nibble 小口咬
nicety 准确，精确，细微之处
nil 不存在，零
nip 少量；小口吃喝
nitpick 吹毛求疵
nocturnal 夜间的;夜间活动的
noisome 有害的，有毒的；恶臭的；非常令人厌恶的
nomad 游牧的；居无定所的人
nominal 不重要的；名义上的
nonchalant 冷漠
nondescript 平凡的，不吸引人的,
nonentity 不重要的人；虚构的东西
nonplus 使迷惑，使困窘
nonsense 无意义的话，废话
notch 刻痕；通过努力获得
novel 新奇的
noxious 有害的，有毒的;产生强烈厌恶的
