abreast 并排地；熟知的
absent 未出现的，缺乏的；不专心的，走神的
acclaim 称赞；赞扬，赞颂
accomplish 完成，实现
accord 一致；相符合，相一致；授予，给予
acknowledge 承认
acquire 获取，获得,
acquisitive 贪婪的
adjudicate 裁决，判定
adversity 厄运，逆境
affectation 虚伪，做作,
affirm 声称为真，肯定属实
affix 粘合
affliction 痛苦，悲伤，折磨
agape 急切盼望的
agility 身手敏捷,
agonize 折磨，使痛苦；感到痛苦
agreeable 令人愉悦的；随和的；相一致
alienate 使疏远；转让，让渡
alloy 合金；混合物；掺杂，降低的纯度
ambivalent 尤指感情、态度矛盾的
anachronistic 时代错误
analogous 相似的，可比较的
annex 裙楼，副楼；添加，合并；吞并，夺取土地等
annotate 给作注解
antedate 比早，早于
antipathy 厌恶，反感,令人反感的事物
antiquated 古老的，过时的
antithetical 完全对立的，相反的
apparition 鬼魂，幽灵
applicable 可用的，可行的；相关的，有光的；合适的，恰当的
apprehensive 知晓的，理解的；恐惧的，害怕的,
arable 适合耕作的
arbitrary 专横的，独断专行的,；独裁的，拥有无限权力的；缺乏计划的，随意的
arcane 语言晦涩的，隐晦的,深奥的，难以理解的
argument 争吵，争论；逻辑上的论证；观点，论点,
arid 干燥的；无趣的，无聊的
array 排列，阵列；排列，摆放；装饰，装修
assail 抨击，严厉批评；攻击，猛攻
asymmetry 不对称，不均衡
atrophy 萎缩，衰退
attest 证实，为作证
attune 使协调，使和谐
august 威严的，严重的；盛大的，令人印象深刻的
auspicious 好兆头的
austere 朴素的，朴实无华的；严肃的，令人生畏的
automatic 机器等自动的；自发的，情不自禁的
avowal 承认，公开宣称
backfire 产生相反的结果，事与愿违
backslide 情况等倒退，故态复萌
baffle 挫败，阻挠；使疑惑
baffling 令人疑惑的，难以理解的
bash 猛击；攻击，用力击打；抨击，严厉批评
bask 休息，悠然自得
beholden 欠他人人情的
behoove 对有利
beige 缺乏特征的
belligerence 好斗，好战
belligerent 好斗的，好战的
beset 使苦恼，骚扰；攻击，袭击
bewitching 迷人的，令人着迷的
blackmail 敲诈，勒索
bluff 直率的，说话直截了当的；欺骗
bogus 伪造的，假冒的；虚伪的，做作的,
bore 令人讨厌的人或事物；使厌倦，使厌烦
brandish 带有威胁性地挥舞
brim 边缘，边界；充满；加满，倒满
bumble 含糊不清地说，杂乱无章地说,笨拙地行动
bustle 忙乱，喧嚣,快速地行走，奔忙
cachet 威望，声望
calamity 大灾难
calculated 经过计算成败得失的，经过深思熟虑的
calibrate 校准，调校
canny 精明的，聪明的
canonize 过分宠爱，过分崇拜；使崇高，使神圣
captious 吹毛求疵的，爱挑毛病的
careen 蹒跚而行。不稳定行走；狂奔，快速运动
carefree 无忧无虑的
cascade 尤指小的瀑布
cellular 多孔的
ceremonious 讲究礼节的，庄重的
certitude 确定无疑
channel 水渠；海峡；将导入，投入
chaperone 同行，护送
charisma 魅力，吸引力
cherished 受喜爱的，珍爱的
chivalrous 有骑士风度的，尤指对女性彬彬有礼的
chorale 赞美诗；合唱班，合唱团
clamor 喧闹；喧哗，噪声,
clan 有共同爱好的团体，帮派
cleave 紧贴，坚持；分隔，割裂，劈开
cling 粘结，粘合；紧贴；坚持
coarse 粗糙的，表面不平整的；声音刺耳的，粗声粗气的；粗俗的；质量低劣的
cohesive 有粘性的；有凝聚力的
collaborate 合作
commiserate 表示怜悯，同情
compatible 一致的，能共存的
compelling 极具说服力的；迫切的，紧迫的
complacent 自满的，自鸣得意的；无所谓的，不关心的
complementary 互补的
