abandon 放纵,放纵；放弃；停止做某事
abase 降低地位、职位、威望或尊严
abash 使尴尬，使羞愧，
abate 减轻程度或者强度，减少数量，降低价值，停止撤销
abbreviate 缩写，缩短
abdicate 正式放弃权力、责任
aberrant 异常的，非常规的
abet 帮助，怂恿;鼓励
abeyance 终止，搁置
abhor 深恶痛绝，极度厌恶
abiding 永久的
abject 无精打采的；地位、身份悲惨、凄凉的;卑微的，讨好的
abjure 发誓放弃:;抵制避免:
abnegate 否认，；投降，放弃，交出权力等，
abominate 憎恶
aboveboard 无欺诈的，光明正大的，
abrade 磨损，精神上的折磨,
abridge 缩短，缩小；在不改变本意的条件下删减词语，缩写
abrogate 官方的正式废除；无视某事的存在
abscond 偷偷离开
absolute 专制的;无限的;完美的，纯净不惨杂的;不容置疑的，确凿的
absolve 使无罪，解除责任,,
abstain 自我克制，主动戒绝,
abstemious 吃喝等有节制的，节俭的,,
abstract 做总结，概括;使分心,
abstruse 难以理解的
absurd 不合理的
abundant 大量的
abuse 辱骂，抨击;不正当的或不合理使用的;过分过量使用的
abut 邻接，毗邻
abysmal 极低的，极可怜的;程度很深的，极端的
accede 赞成;就任，就职
accelerate 加速;使提前发生;变大，变多
accessible 可以达到的;可以理解的;能够获得的
accessory 辅助的，附属的,;帮凶,
accidental 意外发生的，偶然的;附带的，不重要的
acclimate 使适应()
accolade 同意，赞赏;赞扬
accommodate 提供所需例如服务、借贷、寄宿;改变以适应新情况、新场景;使和谐
accost 以挑衅的形式搭讪
accrete 逐渐增长,
accumulate 逐渐增长
acerbic 心情、心境或者语调尖酸的,
acme 顶点，极点;最佳典范
acquiesce 勉强同意；默许,
acrid 辛辣的，刺鼻的,;刻薄的,
acrimonious 刻薄的，充满仇恨的
acumen 不同寻常的洞察力和鉴别力
acute 敏锐的;严重的，急性的;程度、影响极强的
adamant 固执的，不可动摇的,,
adapt 修改，使适应
addict 沉溺，上瘾;对某事上瘾的人
adhere 依附，粘着;服从，遵守;坚定地支持
adjourn 延期，休会;
adjunct 附属物，非必需部分
ad-lib 即兴的
admonish 建议;责备
adore 喜爱，因···感到愉悦;宠爱
adulate 极度谄媚
adulterate 掺杂，加入低等成分,
adumbrate 部分地或有保留地揭露;预示着
adventitious 外来的，后天的，非内在的
adversary 敌手，对手,
advert 引起注意，提到
advocate 支持，提倡
affable 和蔼的，温和的,
affinity 喜欢，倾向，相似
affluent 富裕的
aggrandize 增加、提高力量、财富、地位、声誉等
aggravate 加重，恶化,使恼火
aggregate 集合体;集合，聚集
aggressive 好斗的;强有力的，强烈的
aggrieve 使苦恼，使悲痛,,
agitate 煽动，激起;使不安,
agog 极度感兴趣的
agonize 使非常痛苦
airtight 无瑕疵的;密封的，不透气的
alacrity 反应迅速，乐意，欣然
alibi 不在场的证明，托辞，借口
alienate 疏远，离间;转移，变卖财产或权利
align 使排成一行;调准，校准
allay 减轻,,
allegiance 忠诚
alleviate 缓和，减轻,
allude 间接提到
allure 吸引;诱惑做某事,
ally 盟友，支持者;加入联盟
aloft 在空中
aloof 孤高的，不合群的
altruism 利他主义
amalgamate 合并，混合,,
ambiguous 有多种理解方式的，不确定的,,
amble 漫步，闲逛,,
ambrosial 食物特别美味的，香的
ameliorate 改善，改进,
amenable 顺从的，服从的,
amenity 环境、设备等的舒适，人性化;融洽，和谐,
amiable 好脾气，友好易相处的
amicable 友善的,
amity 友好关系，亲善和睦,
