sermon 布道，说教
serpentine 弯曲的
serrate 锯齿状的
serried 密集的
servile 低下的，卑屈的,
severe 严厉的，要求严格的；难以承受的，艰难的
shackle 束缚；限制，阻碍
shadow 偷偷尾随；遮蔽，使变暗
shallow 浅显的，浅薄的
sham 欺瞒；掩饰，假装；虚假的
shiftless 胸无大志的，懒惰的
shipshape 井然有序的
shirk 逃避，规避
shoal 浅的
shopworn 陈旧的
shred 少量
shrewd 精明的，机敏的;刺骨的，强烈的
shrink 在数量或价值方面降低，减小；使本能性地退却如因遇到使人惊恐的事物，使退缩；表示出不情愿，犹豫
shroud 隐蔽物，可起隐蔽、保护或屏护作用的物体,;将从视线中隔离，遮蔽
shrug 轻视，忽略；脱下衣物等
shun 避开，避免
sidestep 通过逃避而不遵守
signal 在重要性、成就方面非同寻常的；给出信号
simpleton 缺乏常识的笨蛋
simulate 假装，模仿；模拟
sin 罪恶的事
sincere 真诚的，不做作的
sinecure 美差
sinew 活力，力量
singe 轻微烧焦
sinuous 蜿蜒的，迂回的
sip 尤指小口地喝
skeleton 骨架，框架
skeptic 怀疑者,
skimp 缺乏的，不足的；节省花费，吝啬
skirmish 小冲突，争论
skirt 界限，边界；绕行，避开
slack 松弛的;疏忽的，大意的
slake 使满足
slant 看待问题、思考的角度，看法;倾斜的；歪曲事实等
slate 列入名单，计划，安排
slew 大量，许多
slight 不重要的;轻微的;轻蔑，看不起;忽略，疏忽
sling 投掷
slippery 光滑的；隐秘的;意义不明确的
slipshod 粗心的，随意的
sloppy 邋遢的，不整洁的；混乱的
sloth 怠惰，懒惰
slouch 懒人；缓慢行走
slovenly 邋遢的，不整洁的
sluggard 懒人
sluggish 缓慢的，迟缓的;迟钝的，反应慢的
slumber 睡着
slur 耻辱;含糊地发音；疏忽，忽略,
sly 狡猾的;隐秘的，偷偷的
smarmy 虚情假意的，过分恭维的
smart 反应敏捷的，聪颖的;整洁的；感到疼痛，感到痛苦
smattering 浅薄的知识；少量
smirk 自鸣得意地笑
smother 使窒息；抑制表达，说出，压制
smug 自大的，自鸣得意的;整洁的，有序的
smuggling 走私，私运
snare 无法逃脱的困境;捕捉
snarl 纠缠，纠结；咆哮，怒吼
sneer 轻蔑地嘲笑
snobbish 谄上傲下的，自大的
snub 轻视，不理睬
soak 使湿透
sober 严肃的；节制的；有理有据的
sodden 湿透的;使湿透
solace 安慰;安慰，安抚
solder 连接，联合
solemnity 庄严，严肃
solicitous 为他人操心的，体谅他人的;迫切的，渴望的
solid 固态的，坚固的；有理有据的；坚定的，不迟疑的
soliloquy 尤指自言自语的独白
solitude 孤独，避世
solvent 有偿付能力的；溶剂
somatic 肉体的
somber 昏暗的，无光的；悲伤的，不愉快的
somnolence 瞌睡，嗜睡
sonnet 十四行诗
soothe 带来慰藉，安慰；使镇静，使安心;弱化，缓解
sop 安慰物;贿赂，回扣；浸湿，湿透
sophism 假推理，诡辩
sophisticated 精明的，老于世故的；复杂的
soporific 催眠的药剂，安眠药；催眠的；慵懒的，困倦的
sordid 肮脏的，不干净的；卑鄙的
sound 牢固的，不可动摇的；健康的，强壮的;逻辑上严谨的
sparse 稀疏的，稀少的
spartan 简朴的，节约的
spat 小的争吵
spate 突发的洪水；大量
specific 特有的，独特的；明确的
specious 似是而非的，欺骗性的
speck 小点，少量
spectator 观众，目击者，旁观者
spectrum 光谱，范围，系列
speculate 推测，揣测；投机倒买
spendthrift 挥霍家，败家子；挥霍的，不节俭的
