barb 尖锐而严厉的批评
barbarous 野蛮的，凶残的;未开化的
barefaced 公然的，厚颜无耻的
bargain 协议;讨价还价
baroque 装饰华丽的，过分雕琢的，复杂的,;程度上过分的,
barrage 弹幕;有压倒之势的、集中倾泻的如言语;同时袭来,
barren 不育的;不产生结果的，无效的;贫瘠的;极度匮乏的
barricade 障碍物;用障碍物阻止通过
barter 以物换物,
batch 一批次的量;一小群人
bathetic 平凡的，陈腐的
bawdy 下流的，猥亵的
bedeck 装饰，点缀
belabor 当众严厉批评;就···作过度的说明，喋喋不休,
beleaguer 包围，围攻;使困扰，使烦恼，使消沉
belie 错误的描述，误述;证明···为假;掩饰;与···相对立，与···相矛盾
bellwether 领导者，带头人
beneficent 仁慈的，好慈善的;对个人或社会有益的
benign 好心的，仁慈的;无害的
berate 长时间严厉指责,,
beseech 急切地恳求
besmirch 弄脏，弄污;诽谤，玷污
bifurcate 使分成两支
bigot 固执己见者，有偏见的人
bland 味道平淡的，不刺激的;无趣的;温和的，和蔼的
blandishment 甜言蜜语，讨某人好话,
blasé 过度放纵之后厌倦享乐的，腻厌的
blast 爆炸;一阵猛烈的强风;巨响;炸裂，爆破;斥责，抨击
blatant 大声喧哗的;让人生厌地惹人注目的
blazon 使知名;修饰，装扮
blemish 缺点，污点;损害，玷污
blight 使枯萎;损害
bliss 极度快乐;极乐世界
blithe 愉快高兴的;无忧无虑的，漫不经心的
blueprint 蓝图，详细计划;事先计划,
blunder 过失;在···方面犯了很愚蠢且通常很严重的错误，糟蹋;蹒跚
blunt 使变钝;减弱力度等;直率的,
blur 使变得朦胧，使变得不清楚;使不易理解
blurt 突然说出，冲动地说
bluster 狂妄自大地大声说;大声吹嘘，恐吓;喧闹的状态
boggle 因为怀疑、恐惧犹豫;笨拙地做
boisterous 喧嚷的，吵闹的
bolster 支撑物；鼓励、使有精力
bombast 夸大的言辞
bonhomie 温和，和蔼
boo 嘘以表示不满或嘲笑,,
boon 恩惠，福利;喜欢集体活动的
boor 粗鲁的人，不敏感的人
bootless 无用的
bound 界限;给设置限制;投入的，坚定的
boycott 联合抵制，拒绝参与
bracing 令人振奋的，给人带来活力的
brake 刹车
brash 愚勇的，鲁莽的;缺乏判断力的，不明智的
brassy 厚脸皮的，不知羞耻的;华而不实地炫耀
bravado 假装勇敢;虚张声势
bravura 优秀演技的
brazen 蛮横大胆的，厚颜无耻的;大胆自信地去面对或从事
breach 对伦理、法律准则的破坏;违背
brevity 简短，简洁;精炼
bribe 贿赂，收买,
bridle 限制
brisk 充满生机的，有活力的;言辞或方式尖刻辛辣的，刻薄的
bristle 怒不可遏，咆哮;供应充足，充满
brittle 易碎的，脆弱的，易坏的;不热心的，不真心的
broach 开启，启封;提出讨论
bromide 陈词滥调
brook 忍受，容许;小溪流
browbeat 恐吓
bruit 未经证实地散播消息,
buck 阻止，反对;转移，交接
budge 使改变立场或态度;停止抵抗，屈服
bulge 凸起;比赛中的优势地位;暴涨，突增，在数目或数量上突然而且是临时性的增加;充满
bully 欺凌弱小者;最好的，最棒的
bumptious 专横傲慢的，自以为是的
bungle 办遭，失败
buoy 使充满勇气和力量，使振作
buoyant 有浮力的;心情好的
burgeon 迅速成长扩大，蓬勃发展,,
burlesque 夸张滑稽地模仿以嘲弄他人的文学艺术作品，恶搞
burnish 擦亮，磨光
buttress 扶墙;为···提供支撑的证据或者信息
byzantine 错综复杂的,,
cache 囤货，藏货;隐藏
cachet 同意;声望
cacophony 刺耳的声音
cadge 乞讨，乞求
cajole 哄骗
calcify 使僵化,
calibrate 调整，使标准化;根据标准精确测量
calligraphy 优美的书法
callous 无同情心的，冷漠的
callow 不老练的，不成熟的,
calumniate 诽谤，造谣，中伤
camaraderie 友情
cameo 栩栩如生的描绘，简洁生动的描述或刻画;客串
camouflage 伪装，伪装手段,
canard 谣传，误传
candor 坦率，直率，诚挚,
canon 准则，标准;真经，正典
