falsehood 谎言,
falter 蹒跚；犹豫踌躇
fanatic 狂热者；狂热的；盲信的
fantasy 幻想；产生幻想
farce 带有嘲讽元素的滑稽戏;闹剧
fascinate 强烈吸引，使入迷
fast 绝食，斋戒;快速的；忠诚的；稳固的，难以拆卸的
fastidious 挑剔的，极仔细的，追求完美的
fateful 意义重大的；带来灾难的，毁灭性的
fathom 测量深度;彻底理解，弄懂
fatigue 疲惫;让人厌倦的苦差事
fatuous 愚笨的，昏庸的
faultfinder 吹毛求疵的人
favorable 赞许的；有利的
fawn 阿谀奉承
faze 打扰，使尴尬
feckless 无成果的，没有价值的;粗心不负责任的
fecund 多产，肥沃的
feeble 衰弱的
feign 制造假象，装出的样子
fender 缓存装置
feral 野生的；动物性的
fertilize 使肥沃，使多产
fervid 酷热的；热情的
fervor 热情，狂热
fester 感染，溃烂，腐烂
fetid 恶臭的
fetter 枷锁，限制；束缚
fiasco 大失败
fickle 易变的;不忠诚的
fictitious 虚构的
fidelity 忠诚
figurative 比喻的
figurine 小雕塑
filibuster 拖延议事
filter 过滤；去除杂质
finale 终场，结局
finesse 娴熟技巧；精心策划；巧妙地躲避
finicky 过分讲究的，挑剔的
flaccid 不结实的，松弛的
flag 旗帜，象征；变得衰弱
flamboyant 艳丽夺目的，炫耀的，充满装饰的
flatter 拍马屁，奉承，讨好；自我感觉良好;使显得更漂亮
flaw 瑕疵，缺点；降低，破坏，使不完美
fledgling 新手
fleet 舰队，车队；迅速的;快速涌过
flexible 灵活的，可变的；易受影响的
flinch 畏缩；退缩
flippancy 轻率，无礼
flirt 调情；无规则地快速运动
flit 快速或突然地经过
flock 人群，兽群;聚集，集体行动
florid 辞藻华丽的，花哨的；装饰华丽的
flounder 笨拙地行动，挣扎
flourish 茂盛，繁荣；装饰
flout 嘲弄性不理会，蔑视
fluctuate 波动，无规则地变动
fluent 表达流利的；不费力的
fluky 侥幸的；偶然的
flush 肤色健康红润的；富有的;大量的；冲洗
fluster 使慌乱
foible 小缺点
foil 挫败
foment 助长，煽动
foolproof 十分简单以至于不会失败的,
footloose 无拘无束的，自由的
forbearance 克制，忍耐;友好仁慈的态度,
forebear 祖先
forestall 预先阻止
foreword 前言
forge 伪造；铸造，铸就；
formidable 令人害怕的；艰难的
forthright 直率的，说话率真的；直接的，不绕弯子的
fortify 加固，鼓励;做好心理准备
foster 促进，鼓励，培养;养育
founder 建立者；完败；沉没
fracas 争吵，吵闹,
fracture 破裂；打碎，破坏
fragile 易碎的；易受伤的，脆弱的
frail 虚弱的；意志薄弱的；希望渺茫的
fraudulent 欺诈的
fraught 充满的；令人忧虑的
frenzy 疯狂，狂怒
frequent 时常拜访；时常发生的，重复再现的
fretful 易怒的，烦躁的
friable 易碎的
friction 摩擦；冲突，不和；
frigid 严寒的；冷漠的
fringe 边缘；与接壤，位于的边缘
frivolous 轻浮的；不重要的
frothy 用轻薄材料制作的；内容等快乐轻佻、不严肃的
frowsy 邋遢的；味道难闻的
frugal 节约的
frustrate 挫败，阻挠；使沮丧
full-bodied 重要的；味道浓烈的
fulminate 大声斥责
fumble 笨拙地做；无意识的失误
furor 喧闹，狂怒，激动，狂热
furtive 鬼鬼祟祟的；秘密的
fury 暴怒
