compound 混合物；混合的；混合；扩大，增多；和解
compress 压缩体积,
compromise 妥协；使危险
compunction 焦虑，内疚，良心不安,
concatenate 连结，混合
concave 凹的
conceal 隐藏，隐瞒
concede 承认；停止抵抗
concentrate 集中；浓缩；聚集
concerted 共同完成的
conciliate 平息，抚慰;调解,
concise 简洁的
concord 一致，和睦,
concur 同意；同一时间发生、存在；团结合作
condescending 摆出高人一等的姿态的
condign 应得的，恰当的
condole 表达同情
condone 宽恕；忽视
conducive 有益的，有促进作用的
confident 有信心的，自信的,
confine 禁闭，监禁；限制
confluence 汇合，混合
confront 直接对抗，直面
confound 使困惑；无法区分，混淆;证明为假，证伪
congeal 凝固，固化
congenial 和善的，友好的；令人愉悦的
congruent 和谐一致的；全等的
conjecture 揣测的结果;猜测，估计大小、数量等；没有依据地认为
connive 暗中合作，共谋；纵容假装忽视或并未采取措施阻止错误
connoisseur 鉴赏家尤指艺术领域;专家
conscientious 仔细的，一丝不苟的;有良心的，正直的
consensus 一致同意
consequence 结果;重要性，价值
conservative 守旧的，不愿改变的；不招摇的，低调的；谨慎小心的
conservatory 温室；艺术学院
conserve 保存，避免浪费
considerable 数量上可观而值得注意的；值得考虑的，重要的
console 安慰，慰藉,
consolidate 使联合，统一；加固，使安全
consonant 和谐一致的
conspicuous 显而易见的；吸引人的
conspire 合谋，密谋
constitute 指派，任命；构成
constrain 限制；使人屈服于压力、感情等
constringe 使紧缩
construct 建造，建立；创造，相出
consummate 专业的，有造诣的；无纰漏的，完美的；最高档次的，最大规模的
contagious 传染的；情绪等唤起共鸣的
contaminate 污染，感染
content 使满足；主题；内容，内涵
contentious 引起争论的；好争论的，好战的
contiguous 接壤的，相邻的
contort 扭曲
contract 契约，合同；收缩；感染疾病
contravene 违反，反对,
contrite 因为有罪孽或过错而感到后悔悲痛的
contumacious 不服从的，倔强的
conundrum 无法解决的问题，迷,
convalesce 渐渐康复，渐愈
convenience 便利，方便
convention 常规，习俗;公约，协议；大会，集会
converge 汇集，交汇于一点
conversant 熟悉的
convert 被改变宗教信仰的人；使改变信仰；改变，转化
convex 凸起的
convey 运输；传递，交流
conviction 深信，确信；证明有罪
convoke 召集开会
convoluted 复杂的，费解的
convulsion 痉挛强烈的、无法控制的肌肉收缩；骚乱
coop 监禁，困于之中
copious 丰富的，大量的
coquette 调情的女子；调情，不认真对待
cordon 警戒线；围成一道防线
cornucopia 大量
coronation 加冕，加冕礼
corporeal 肉体的；有形的，实体的
corroborate 用证据或权威证实;为提供证据，支持
corrosive 腐蚀性的；讽刺性的；
corrugated 褶皱的
cosmopolitan 有世界性眼光的，包容的
cosset 宠爱
countenance 容忍;赞成，推崇；沉着，冷静
counterfeit 仿制的，假冒的；仿制；伪装成
countermand 取消，撤销
court 追求，献殷勤
covert 隐蔽的，秘密的；隐秘庇护所
covetous 贪婪的，渴求财富的
cow 恐吓，威胁
cowardice 懦弱，不坚定
cower 畏缩
cozen 诱骗
cramped 狭小的，狭窄的
crass 粗俗的，愚钝的
crave 热望
craven 非常懦弱的，因胆小而遭人鄙视的
crease 折痕
credence 坚信
credulous 轻信的，易受骗的
creek 小溪，小河
