canvass 仔细检查，详尽讨论;游说，去一个地区的各处或找到个人来拉选票或订单
capitulate 投降，默许
caprice 一时冲动的决定;反复无常，善变,
captivate 吸引
careworn 忧心忡忡的，焦虑的,
cardinal 主要的，非常重要的,
caricature 用讽刺歪曲等手法的夸张，漫画，讽刺画;嘲笑性模仿或夸张,
carnal 肉体的，物质的;世俗的
carouse 畅饮，狂欢作乐,
carp 对小事吹毛求疵，挑剔，表现不满,,,
carve 雕刻;通过长期不懈努力开创，开拓
cast 演员，演员阵容;选派演员;提出;抛弃
castigate 强烈公开指责;惩罚
catalyze 成为···的导火索，导致
catastrophe 大灾难;彻底的失败
categorical 没有例外的，无条件限制的，绝对的,,
catholic 普遍的，包容的
caustic 腐蚀性的;挖苦讽刺的，刻薄的
caveat 警告，告诫
cavil 挑剔，吹毛求疵
cavort 欢快地蹦跳或行走，雀跃
cede 根据条约放弃，割让
cement 粘合，粘合剂,
censor 审查并删除不良的东西,
censorious 挑剔指责的
censure 公开表示反对，谴责,
census 人口普查,
cessation 终止，暂停
chaff 开玩笑
chagrin 沮丧，懊恼
chameleon 变色龙，善变的人
champion 支持
chaos 混乱,
charade 装模作样;动作字谜
charlatan 骗子，装懂的人
chary 非常谨慎的
chase 镂雕金属以装饰;驱赶
chasm 分歧，意见、利益或忠诚上明显差异
chauvinistic 盲目爱国的
check 使突然停止，阻止;同意，一致
cherubic 天使般可爱的
chicanery 诡计多端的，欺骗
chide 责备
choleric 易怒的，暴躁的;生气的,
chord 与和谐一致，符合,
chromatic 彩色的
chronic 经常发生的，复发的;习惯性的，不可能改变的,
churl 粗野的人;吝啬鬼,
cipher 无影响或无价值的人;计算价值;密码
circuitous 迂回的，不直接的,;冗长的,
circumlocution 绕圈子说话,;冗长
circumscribe 限制;包围，围绕
circumspect 谨慎的，小心的
circumvent 躲避，不遵从,
civility 彬彬有礼,
claim 要求权利;断言;剥夺生命;权利
clandestine 隐藏的，秘密的,,
clarion 清楚响亮的,
clarity 清晰，清楚;清澈透明:
clasp 紧握
clement 宽容的，善良的;气候温和的,,
cliché 陈词滥调的
clog 阻碍物,;阻碍;堵塞,
clot 密集的一群;堵塞,;凝结
cloudburst 突然的一场暴雨
clout 权力，影响力
cloying 甜得发腻的，感情用事的,
clumsy 笨拙的;不文雅的;不精致的
coagulate 使凝结，使变稠,
coalesce 合并，融合,
coax 哄骗,,
coda 终曲
coerce 以武力强制,
coeval 同时代的，同龄的
cogent 令人信服的;相关的
cognizant 知道的，意识到的
collapse 突然倒塌或收缩;完全耗尽体力,;失败
collude 串通，共谋做坏事,,,
colossal 巨大的,,
coltish 不守纪律的;爱开玩笑的,
coma 昏迷，深度无知觉;迟钝，冷漠
combustible 可燃的;容易激动的
comely 漂亮的，吸引人的,,
comity 友好，社会和谐,
commencement 开始;毕业典礼
commend 赞扬;委托保管;推荐
commensurate 同样大小的;相称的，相当的
commingle 充分混合
commitment 致力，投入;确信;承诺，表态
committed 忠诚的，忠实的
commodious 宽敞舒适的
commonsensical 符合常识的，有依据的,
commotion 骚乱
compendium 摘要;目录，各种各样的列表或集合,
complacency 自满，无忧患意识,
complaceency 愿意顺从，讨好，彬彬有礼
compliant 顺从的
compliment 称赞，恭维;敬意，免费赠送的礼物
comply 遵从,
compose 使镇定;组成，构成,
