renege 放弃，摒弃
replenish 补充
replicate 复制，复刻；重复，反复
residual 剩余的，残存的
restitution 补偿，赔偿
resurrect 使重生，使复苏
retentive 记性好的
retrieve 寻回，找回
reverberate 回荡，回响
rhetorical 语言上的，文字上的；言辞华丽却往往无内涵的
rigmarole 混乱而无意义的话
ruthless 没有怜悯心的，残忍的
sacrosanct 极为神圣的，不可侵犯的
scourge 祸害
screen 掩护物，屏障；保护，使免受攻击；掩护，遮蔽
scrimp 节俭
scruple 良心上的不安
secede 脱离，拖出组织、团体、联盟等
sectarianism 宗派主义，顽固
secular 世俗的，尘世的
sequel 结果
shift 改变的位置；改变，变化；交换
shifty 显得狡诈的，显得欺诈的
simile 明喻
skittish 容易受到惊吓的，胆小的；容易激动的；善变的，多变的
sparing 节俭的，节约的；不足的，缺乏的
splinter 尖细条，刺,将切成细条,
splutter 急切而不清楚地说
squeamish 恶心的，晕船的
stasis 平衡，停滞
staunch 忠诚的，坚定的
stereotype 成见，老套的理念
stigmatize 使蒙上污名
substitute 取代者，替代品；取代，替代
succumb 屈服；死亡
supersede 取代，替代
surly 脾气不好的
surmise 根据不足的推测，揣测，推测
surmount 战胜，获得胜利
surpass 超越，强于；突破界限、纪录等
surrogate 替代品
surveillance 监视，监控
tame 被驯化的；无聊的，乏味的；控制，抑制
tangle 困惑，不解；纠缠，使.纠结
teeming 大量的
temporal 世俗的，尘世的
tentative 暂时性的，尝试的
thick-skinned 冷漠无情的，不顾他人感受的
thrill 强烈的兴奋感，快感；使兴奋，使激动
timely 及时的，无拖延的；恰到好处的，合乎时宜的
topsy-turvy 混乱的，不整洁的,
trifle 不重要的事；不正经地对待，玩弄
trifling 细微的，不重要的
tycoon 大亨，巨头
tyrant 暴君
umbrage 不悦，生气
unanimous 一致同意的
unavailing 徒劳的，无果的
unremitting 连续不断的
versed 熟知的；精通的
vile 丑陋的；道德上可鄙的，卑鄙的
vocation 职业
vouchsafe 允诺，给予
voyeur 窥淫狂
wanting 未出现的，缺少的；未达到要求的
wayward 刚愎自用的，不服管束的,
weather 安全度过危机等，经受住
willful 固执的，倔强的；故意的
willy-nilly 不论是否愿意地；无秩序的，随意的
wilt 花、植物等萎焉；精神萎靡，憔悴
wily 狡诈的，狡猾的
wiretap 偷听，窃听
wistful 带着忧伤而渴望的，怀念的
wrest 拧，扭动；辛苦地获得
wrongheaded 固执己见的，坚持错误观点的
