ponderable 有价值的，值得考虑的
ponderous 沉重的；沉闷无聊的
pontificate 傲慢地做或说
pore 仔细浏览，仔细研究
porous 多孔可渗透的
portentous 预兆性的，凶兆的;勾起兴趣的，令人遐想的
poseur 故作姿态的，不真诚的人
posit 假定，断定
postulate 前提条件；假定为真
posture 姿势，姿态；故作姿态，装模作样
potable 饮品，尤指有酒精饮料；适于饮用的
potentate 有权势的人
potentiate 激活，加强
pout 尤指撅嘴或板着脸表示不悦
practitioner 职业人士
prairie 大草原
prate 闲聊，空谈
preach 传道，布道
precarious 危险的，不稳定的;可疑的，不明确的
precedent 先例，前例；先前的
precipice 悬崖峭壁
precipitate 匆忙的；促使，导致
precipitation 沉积物，尤指降水,;仓促
precipitous 非常陡峭的；匆忙的
preclude 预先阻止；排斥
precursor 先驱者，先导
predecessor 前任，先辈
predilection 爱好，偏袒
preeminent 优秀的，重要的
preempt 预先占有;替换
preen 整理羽毛；打扮修饰;自满
preface 序言
pregnant 重要的，意味深长的;怀孕的
premeditate 预先考虑
preoccupation 非常关心，全神贯注
preponderant 占优势的，更重要的
prepossessing 给人好感的，有魅力的
preposterous 荒谬的，不符合常理的
presage 征兆;预示，预言
prescience 预知，先见
prescription 规定，传统的规矩
preservative 防腐剂
prestige 声望，威望
presumptuous 放肆的，冒昧的；傲慢的
pretense 虚假，伪装；自大，优越感
preternatural 超乎寻常
prevail 盛行，战胜
prevalent 流行的，普遍的
prevaricate 支吾其词，撒谎
primordial 原始的，最初的
primp 精心打扮
principal 主要的，重要的,
pristine 纯净的，质朴的，未被文明腐蚀的,
privation 缺乏，穷困
probe 深入调查
probity 正直
proclivity 癖性，爱好
procrastinate 因为懒散拖延
procure 获得，取得
prod 促使行动
prodigal 挥霍的；败家子
prodigious 巨大的;惊人的，了不起的
profane 亵渎,;滥用
proffer 献出，提供
proficient 熟练的，精通的
profligate 挥金如土的，挥霍的；败家子;堕落的人
profundity 深奥，深刻
profusion 丰富，大量；挥霍，浪费
prohibitive 禁止的，阻止的;价格高得抑制购买的
proliferate 快速繁殖；激增
prolix 啰嗦的，冗长的
prologue 序言
prolong 延长，拖延
promulgate 正式宣布
proofread 校对
propagate 繁殖；传播，宣传
propensity 倾向，癖好
prophetic 预言的，预示的
propitiate 抚慰，劝解
propitious 吉祥的
proponent 建议者，支持者
propriety 礼节;适当，得体
prosaic 单调的，常见的
proscribe 禁止，排斥
prosecution 实行，执行
proselytize 使改变信仰
prospect 探查，勘探;期待，期望的事物
prosperous 成功的，繁盛的,
prostrate 平躺的，使平躺；衰弱的，使衰竭
protean 善变的；多才多艺的,,
protocol 正确的礼仪规范
protract 延长，拖长,
protrude 突出
protuberant 隆起的，凸出的
provident 节俭的;有远见的
providential 天意的，幸运的
provincial 狭隘的
provisional 临时的
provisory 有附带条件的；临时的
provoke 激怒；驱使，激起
