liberal 思想前卫的；慷慨的，大方的
libertine 放荡不羁者
licentious 放荡的，性欲强的
liken 显示相似，把比作
limber 可塑的，柔软的
limp 柔软的，松散的；软弱的，没有精神的；跛行，艰难地行走
limpid 透明清澈的；镇定的，淡定的
linger 磨蹭，闲荡
lissome 柔软的；敏捷的，轻盈的
list 使倾斜
lithe 敏捷的，轻盈的；柔软的
loath 不情愿的，讨厌的
loathe 厌恶
lofty 崇高的；高的；自大的
loll 懒洋洋地行动；偷懒，打发时间
lopsided 歪的，倾斜的；不平衡的，不协调的
loquacious 话多的
loutish 粗鲁的,
lubricate 使润滑
lucid 有光亮的;神志清醒的；表达清晰的，简单易懂的
lug 拖动，拉动;费力搬运
lugubrious 故作夸张的悲哀的
lull 相对平静时期，间隙；使镇静，使安心
lullaby 催眠曲;使镇静，使安心
lumber 木材；笨拙地行动；使负担从而拖累
luminary 杰出人物
lurch 蹒跚
lurk 潜伏
lush 茂盛的；多产的；声音、味道优美的，令人愉悦的
lustrous 有光泽的
luxurious 豪华的;奢侈的
lyric 可以哼唱的小曲；如诗歌般流畅优美的
macabre 恐怖的
macerate 浸泡以软化
maculate 使有斑点，弄脏；玷污，损坏
maelstrom 漩涡；混乱、动荡的局势
magnificent 壮丽的
maladroit 笨拙的
malaise 不舒服
malcontent 不满分子；不满的
malicious 恶意的
malign 恶意的；诽谤
malinger 装病以逃避工作
malleable 可塑的；易控制的
malodorous 恶臭的
mandatory 强制的
mangle 损毁，使伤残；弄砸
mangy 卑劣的
mania 热衷，狂热
manifest 显然的，明显易懂；显现，显露
manipulate 巧妙操作；巧妙处理，暗中操控
mannered 不自然的，做作的
manumit 解放奴隶
manuscript 手稿
mar 污点，坏点;破坏，削弱
marsh 沼泽，湿地
martinet 纪律严明之人
marvel 令人惊奇的事物;因为壮观、美丽等而表示惊讶
mash 捣碎
masquerade 面具，伪装；伪装，掩饰
mastery 技艺超群，精通
matriculate 入学；录取
maudlin 过于感伤的
maven 专家
maverick 特立独行之人;标新立异的，不合常规的
mawkish 过度伤感的
meager 贫乏的
mean 卑贱的；吝啬的；打算，怀有目的;意味着,
meander 闲逛，漫步
measly 少得可怜的，微不足道的
measured 深思熟虑的，审慎的
meddle 干涉，管闲事
mediate 调解，调停
mediocre 平庸的，质量中等偏下的
medley 大杂烩，混合物
meek 谦恭的；顺从的
meet 合适的
mellifluous 曲调优美的
melodramatic 感情夸张的，伤感的
menace 威胁，使处于危险
mendacious 撒谎的，虚假的
mentor 导师；教导，指导
mercenary 外国军队的雇佣军；唯利是图的，贪婪的
mercurial 情绪善变的
merited 应得的，理所应当的
mesh 诱捕
mesmeric 催命的，催眠术的；令人着迷的，难以抗拒的
metamorphose 使变形
metaphysical 哲学上的，理论上的；非尘世的
meteoric 流星般迅速而短暂的
methodical 井然有序的，有条理的
meticulous 极为谨慎的
mettle 勇气;毅力，耐力
miff 使恼怒
migratory 迁移的
milk 榨取财富、信息等
mime 模仿
mimic 仿真的，伪造的；滑稽地模仿以取笑;模仿
minatory 带来威胁的，有凶兆的
mince 切碎；小步走
