complicate 使复杂化
comprehend 理解，了解；包括，包含
concrete 实体的，实在的，事实性的，明确的
condemn 谴责为不道德的、邪恶的
conditional 有条件的，受制约的
conflagration 大火；武装冲突
conflate 混合
conform 使协调；调整以适应；遵照，遵从,
conjure 请求，恳求；在脑海中浮现，想起
consent 同意，赞同，同意
consign 转交，转移给他人
consternation 惊愕，恐慌，恐惧
constrict 压缩，压紧
contemplate 沉思，仔细考虑
contempt 蔑视，鄙视,
contend 竞争，争夺；声明，声称
contradict 否认，反驳；与相矛盾
contrived 不自然的，刻意的
convene 召开，召集；聚集，集合
correlate 使相关联
counterpart 地位、功能对等的人或物
counterproductive 反效果的，阻碍预期目标的
courteous 礼貌的，谦恭有礼的
coy 故作羞涩的；不愿与人交往的，内向的
credible 可信，值得信赖的
credit 信任，信赖；表扬，赞扬
crow 感到高兴；自鸣得意,
damn 在道德上谴责；非常地，极其地
dampen 特指稍稍地弄湿；抑制，压抑感情、精力等，泼冷水,
dashing 爱好冒险的，大胆的
dated 过时的
deadlock 僵局；使陷入僵局，使停顿
debonair 无忧无虑，不在乎的；风度翩翩的
decadent 堕落的，腐败的；放纵的人；道德上堕落的人
decry 强烈反对，否定
deflect 使偏斜，使转向
defray 支付
deign 不情愿地屈尊，俯就
delegate 代理人，代表；移交权力，任务等
delineate 勾勒，用线条描绘；描写，描绘，
demote 降职，降级
dependable 可靠的，值得信赖的
deplorable 可鄙的，可耻的；悲惨的，可悲的
desperate 绝望的
dichotomy 一分为二，分割
dictate 指令，命令；仗着地位，权力下令
dike 堤坝，水坝；水沟，水渠
discreet 言行谨慎的；不易察觉的
disenchant 使清醒
dishearten 使沮丧，使失去信心
disjunctive 分离的
disprove 反驳，证明为假
distinctive 完全不同的；特征性的，典型的
doctrinaire 教条主义的，照本宣科的
domineer 专制统治
drab 单调的，无聊的
dramatic 显著的，惹人注意的
dread 恐惧
duplicate 复制品；复制；重复，反复
dynamic 有力量的，有活力的
eclectic 混合的，多元化的
efficacious 有效的
elude 躲闪，躲避；使无法理解，使困惑
enamored 迷恋的，热爱的
endeavor 努力，奋斗；努力做，拼搏
enthrall 像用魔咒般吸引
equilibrium 均势，平衡；感情上的平静
erroneous 错误的，不正确的
escort 护卫队，护送者；同行，护送
ethos 道德准则
exorcise 除去
explicate 解释，说明
exterminate 根除，消灭
extrapolate 通过逻辑判断
fabulous 传说中的；幻想中的，不真实的；令人惊讶的，令人称奇的；极好的
fad 短暂的流行，时尚
fallible 可能出错的
fanciful 幻想中的不真实的；不切实际的，荒谬的
favoritism 偏爱，偏袒
featureless 缺乏特征的
feisty 好斗的，好争论的
felony 重罪
ferocious 极端的，剧烈的；激烈的，爆发性的；凶猛的，残暴的
fervent 充满感情的，热情洋溢的
figment 虚构的事物，幻觉
fitful 无规律的，缺乏周期的
fleeting 稍纵即逝的，短暂的
forage 寻找
forebode 预示，预兆
foreground 强调，重视
forfeit 罚金
forsake 彻底放弃，抛弃
frosty 寒冷的；无强烈情感的，冷淡的
gawky 举止笨拙的
germinate 发芽；出现
glacial 极冷的；冷漠的，无感情的
glide 轻松地行动，轻松地通过
glower 怒目而视
graft 移植，移接
grit 面对困难时所表现出来的毅力
