interminable 无尽头的
intermittent 间歇的，断断续续的；不定期的
interregnum 过渡期
interrogate 质问，审问
intimate 有紧密联系的，亲密无间的；不为人知的；密友；迂回地交流，间接地沟通
intimidate 威吓
intoxicant 使人陶醉的东西尤指酒精饮料
intransigent 不妥协的，固执的
intrepid 无谓的
intrigue 阴谋;激起的兴趣
intrinsic 固有的，内在的
intuitive 直觉的
inundate 淹没
inure 使习惯接受不好的东西；使坚强
invective 侮辱性的
inveigh 激烈抗议，表示强烈不满
inveigle 诱骗
inventory 存货清单;包含要点的简介
inveterate 积习的
invidious 惹人反感的；羡慕嫉妒恨的
invigorate 使精神，使强壮，鼓舞激励
invincible 不可战胜的，不可超越的
invoke 实施;产生，造成
irascible 易怒的
irate 极其愤怒的
iridescent 五颜六色的
irk 令人烦恼的事物;使烦恼，使厌倦
ironclad 非常坚固的，坚不可摧的
irradicable 不能根除的
irreducible 数不可约分的
irrigate 灌溉；冲洗
irritate 刺激，惹恼
issue 有争议的话题，议题；发布期刊等;使流出
jabber 快而不清楚地说,
jaded 疲惫的;厌倦的，没兴趣没热情的
jape 嘲弄
jargon 行业术语
jarring 刺耳的；震惊的
jaundice 因嫉妒或厌世而产生的偏见
jaunty 轻快的，活泼的
jejune 无趣乏味的；幼稚的
jettison 丢弃，投弃
jeopardy 危险,
jest 轻浮的态度，戏谑
jibe 意见一致
jingoist 极端爱国激进分子通常表现为好战的对外政策
jitters 紧张，不安
jocular 搞笑的，欢乐的,
jocund 欢快的，高兴的
jog 慢跑；唤起
jolt 突然移动；惊吓
jot 简要记录
jovial 愉快的,,
jubilant 喜悦的
judicious 明智的，慎重的
juggernaut 无法阻挡的力量，摧毁一切的强大力量
ken 视野范围；知道，了解人或物
kidnap 绑架勒索
kindle 点燃,
kindred 类似的；具有相似或相近的起源、本性或性质的
knack 诀窍，聪明的做法
knead 揉捏，塑造
knit 编织纱线；连接，联系
knotty 多结的，复杂的，困难的
kudos 名望，名声；夸奖，赞扬
labile 易变的，不稳定的
laborious 勤奋的；费力的,
labyrinthine 迷宫似的，复杂曲折的
lacerate 使非常痛苦
lackluster 黯淡无光泽的
laconic 简洁以至于显得粗鲁或难以理解的,
lachrymose 催人泪下的，悲伤的
lambaste 严厉斥责
lament 悼词；抱怨；为哀悼，表达痛苦或遗憾
lamentable 值得惋惜的，悲哀的
lampoon 讽刺
languid 没精打采的，虚弱的
languish 变得衰弱
languor 懒惰；衰弱,
lank 细长瘦弱的；不僵硬的，柔软松弛的,
lapse 小过失；结束，终止
largesse 捐赠物；慷慨
lash 击打；猛击，撞击;捆扎
lassitude 乏力，没精打采
latent 潜在的，不活跃的,
latitude 行动或言论自由
laudatory 表示赞扬的
lavish 奢侈的，大量的，无节制的;挥霍，浪费
leaven 在中加入轻松、活泼或变更的因素
leer 一瞥，斜眼看
leery 怀疑的，不信任的
legacy 遗产
legend 传奇，传说；图例
legion 大量的人，尤指军团；大量的
lenient 宽大仁慈的
lethal 非常有害的，致命的
lethargic 没精打采的，行动迟缓的
levelheaded 明智的
levity 轻浮
liability 责任；障碍，不利条件
