amorphous 无固定形状的;不可归类的
analgesic 镇痛剂,,
anarchist 反抗权威的人
anathema 诅咒
ancillary 次要的;辅助的，补充的,
anecdote 短小有趣的故事,,
anemic 缺乏力量、活力、精神的
anesthetic 止痛剂;无感觉的，麻木的
animate 活的有活力的;使有活力，支持;使行动，驱使;使活灵活现，使栩栩如生
animus 敌意,,
annoy 不断烦扰,
annul 宣告无效，取消;抵消,
anomalous 不普通的,不平常的;反常的，不正常的
anonymous 匿名的;无特色的
antagonize 与敌对，反对;激怒,,
antediluvian 非常古老的，过时的;保守的人
anterior 前面的
antic 滑稽可笑的
apathy 冷漠，缺乏情感,;缺乏兴趣，不关心,,
aphorism 格言，警句
apocalyptic 预言的，启示的;重要的，转折点的，夸大的
apocryphal 假的,
apoplectic 极度愤怒的,
apostasy 放弃宗教信仰;变节，背叛,
appall 使惊恐
appeal 申请;起诉,,
appealing 吸引人的,
applause 鼓掌，认可
apposite 相关的，合适的,
appreciable 可感知的，明显的
apprehension 忧虑，恐惧;逮捕;理解
apprise 通知，告知
approbation 同意
appropriate 私自挪用;适当的,
apropos 相关的;关于，有关
apt 恰当的，合适的;有倾向的，可能的;聪明的,
archaic 过时的，久远的,,
archetype 典范，榜样;先驱，鼻祖;原型
ardor 狂热,,
arduous 难以做到的，费劲的
argot 隐语，黑话，行话,
arrest 使不活跃;停止;逮捕;吸引某人注意力,
arresting 吸引人的,
arrhythmic 不规律的,
arrogance 傲慢，自大
articulate 清晰地表达;表达清晰的,,
ascendant 有影响力的，主宰的,;上升的,
ascetic 苦行的，克己的，禁欲的;禁欲者,
aseptic 消毒的，无菌的，缺乏活力的，冷漠的
askew 不成直线的地，歪的地
aspect 外表，容貌
asperity 举止、性情粗暴;环境艰苦,
aspersion 诽谤，中伤,
aspirant 有抱负者，有野心者;想成为的
assent 同意
assert 断言，肯定地说出,,
assertive 自信的,,
assess 评估重要性、尺寸、价值等;征收费用如罚款,
assiduous 勤勉的，专心仔细的
assuage 缓和，减轻;平息，抚慰;使满足
astounding 令人吃惊的，出乎意料的,
astute 机敏的，有洞察力的,
asunder 分离成多部分或多片地;分离地
asylum 收容所，保护所,
asymmetrical 不平衡的，不对称的,
atone 赎罪，弥补
atrocious 极坏的，极其残忍的;让人极为不满的
attenuate 降低数量、力量、价值
audacious 大胆的，但往往愚勇的;蔑视法律、礼节的，无礼的;乐于冒险的;大胆创新的
augur 预言家;出现好兆头;预言,
authentic 真实的，非仿造的;准确的，相符合的
authority 某领域的权威人士;管辖权，控制;影响力;管束他人的权力;根据，理由
autocracy 独裁政府,
autonomy 政治上的独立;自我主导的自由，尤其是精神独立
avarice 贪财，贪婪
aver 声称为真;态度强硬而明确地声明
aversion 非常讨厌，极厌恶;令人厌恶的事物
avid 急切渴望的;贪婪钱财的,
awash 被淹没的;如洪水般泛滥的,,
awe 敬畏,,
awkward 缺乏灵活性和技巧的;处理问题缺乏手段和智谋的;臃肿笨拙的，不优雅的;令人尴尬的;因过大或过重设计问题难以操作的
awning 雨篷，遮阳篷
awry 弯曲的，扭曲的;走样的地，出差错的地,
axiomatic 公理的;不言自明的
babble 发出含糊无意义的嘟囔声，胡乱说;闲聊
backhanded 间接的，含沙射影的，虚情假意的
badger 不断纠缠或骚扰,
badinage 打趣，善意的玩笑
bait 逗弄，激怒;引诱;诱饵,
bale 痛苦，悲哀
baleful 有害的;凶兆的，凶恶的;致命的
balk 阻碍;不愿接受，拒绝
balky 不服管束的，倔强的
ballad 由简单诗节和叠句组成的民歌
balloon 迅速增加
balm 香油，止痛膏，安慰物;香气
banal 非原创的，陈腐的
bane 祸根;有害物质
banish 驱逐出境;赶出
banter 幽默、打趣的地谈话
