nuance 细微的差异
nudge 用肘推以引起注意；说服某人做某事
nugatory 无关紧要的,
nurture 提供营养；培育，培养
oath 誓言
obdurate 固执的；冷酷无情的
obedient 服从的，顺从的
obeisance 敬礼，尊重,
obfuscate 使困惑，使模糊,
obligatory 强制性的；见得多以至于无聊的
obliging 乐于助人的
oblique 斜的
obliterate 除去
oblivious 不知道的，不知情的,
obloquy 谩骂，诽谤；恶名，耻辱
obscure 含义模糊的,;平凡的，不知名的；使模糊
obsequious 谄媚的，奴性的
obsess 迷住的，使困扰
obstinate 固执的；难以减轻或治愈的
obstreperous 难驾驭的，任性的；吵闹的
obstruct 妨碍，给制造困难;阻挡
obtuse 愚钝的
obviate 排除，使不必要
occult 难以理解的;使隐藏或神秘
odium 憎恶，讨厌
offbeat 不平常的
offhand 即兴的，没有准备的
officious 多管闲事的
offish 冷淡的
off-key 不寻常的，不合适的
ominous 凶兆的,
omniscient 无所不知的
onerous 费时间花心思的,
opaque 不透光的;晦涩的
opine 表达观点；想，认为
opportune 合适的，恰当的
opprobrious 辱骂的；臭名昭著的，令人鄙视的
oration 颇有野心、自高自大的演说
orient 使确定方向，使熟悉或适应,
original 创新的;最初的，最早的
orthodox 传统的,,
oscillate 振动，摇晃；犹豫，变化
ossify 使硬化，使僵化,,
ostentatious 炫耀卖弄的,
ostracize 驱逐
oust 免职；驱逐
outgoing 友好的，外向的
outlandish 古怪的，奇异的,
outmaneuver 以谋略取胜
outset 开端，开始
outwit 瞒骗，以智取胜
overbearing 专横傲慢的；压倒一切的，在力量或重要性上势不可挡的；支配的，显著的
overlap 与部分重叠
overt 明显的，公开的
overture 前言;序曲
oxymoron 矛盾修饰法
pacify 使平静，安慰
padding 夸张，废话
paean 欢乐颂
painstaking 煞费苦心的
palatable 感到愉悦满足的
palatial 宫殿般奢华的
pall 失去兴趣
palliate 平息，减轻
pallid 无生气的，缺乏活力的;苍白无血色的
palmy 繁荣的
palpable 摸得到的；明显的，易觉察的
palter 欺骗，讨价还价
paltry 无价值的，微不足道的；让人厌恶的，让人鄙视的
pan 严厉批评
panache 炫耀
pandemic 大范围流行的
pandemonium 喧嚣，骚动
panegyric 赞颂之词，颂文
panoramic 全景的
parable 寓言
paradigm 典范，模范
paradise 天堂，极乐世界;快乐，狂喜
paradox 表面矛盾实际可能正确的话，悖论
paragon 优秀模范；把比作，显示相似
paramount 最重要的
paranoid 多疑的，对他人极端恐惧和怀疑的
paraphrase 转述，意译，改写；
parch 炽，烤，烤干
parenthesis 间断
pariah 被排斥或鄙视的人
parity 相称，同等，平等
parody 以嘲笑原作作者的模仿作品;模仿以嘲弄
paroxysm 感情、动作的突发；政治、社会领域呃大动荡
parrot 机械地模仿，复制
parry 躲避问题
parsimonious 过度节俭的，吝啬的
partial 偏袒的，偏爱的；部分的，不完整的
particularize 详述
partisan 跟随者，信徒；狂热。坚定的拥护者，支持者；偏袒的
pastiche 带嘲讽的模仿；大杂烩
partition 分割，划分
patent 显而易见的，明显的
pathological 不正常的，病态的
patina 外表；由内而外散发的氛围，气场
