patrician 贵族，名门望族；贵族的，地位高的
patriot 爱国者
patronize 赞助；以高人一等的态度对待
paucity 少量，缺乏
paunchy 大腹便便的，大肚子的
peck 大量；不情愿地小口咬
pedagogue 教育者，老师
pedant 书呆子，墨守成规之人
predestine 预先注定
pedestrian 行人;平庸无奇的，令人厌倦的
peep 一瞥；轻声
peer 同等地位的人，同辈；好奇地凝视
peeve 打扰，惹恼
pejorative 轻蔑的，贬低的
pellucid 透明的；清晰明确的，易懂的
pen 监狱；关押，监禁
penalty 对罪行的处罚
penchant 嗜好，迷恋
penitent 悔过的
pensive 沉思的，尤指哀思的
penury 贫穷；吝啬，节俭
perambulate 徒步穿越，走过
perceptible 可察觉的
peremptory 不容反抗的;爱发号施令的；傲慢的
perfervid 非常热情的
perfidy 不忠，背信弃义
perforate 打孔，穿透
perfunctory 例行公事的，敷衍的；不感兴趣的
perimeter 边界，界限
periodical 期刊；周期性的，有固定间隔的
peripatetic 巡游的，四处游历的
peripheral 外围的;辅助性的
perish 死亡，消亡
permanent 永恒的,
permeable 可渗透的
pernicious 有害的
peroration 演讲的结束语；正式的演讲，致辞
perpetual 永恒的，不断的
persecute 迫害，折磨
persevere 坚持不懈，不屈不挠
persiflage 打趣
persistence 坚持，持续
personable 风度翩翩的，吸引人的
perspicacious 极敏锐的，有洞察力的
perspicuity 清晰明了
pertain 有关联的
pertinacious 顽固的，固执地坚持的
pertinent 相关的，恰当的
perturb 使扰乱，使烦躁不安
peruse 细读
pervade 弥漫，充满
pessimistic 悲观的
petition 请愿，正式的申请，申请书;尤指正式地请求,
petrify 使僵化，使失去活力
petty 细微的，不重要的
phenomenal 不寻常的，非凡的
philanthropic 博爱的，为他人着想的
philistine 市侩注重物质而鄙视智慧或艺术的人
phlegmatic 冷静的，无感情的，淡漠的,
piddling 微不足道的
piebald 杂色的；混合的，杂糅而成的
pigment 颜料；给上颜色
pilfer 偷窃
pillar 柱子；物质、精神等方面的支柱
pillory 当众嘲弄
pilot 领航员，飞行员;初步的，试验性的；带领通过
pine 渴望，奢望；因渴望而憔悴
pinnacle 顶峰
pinpoint 非常精确的；精确定位或确认
piquant 辛辣开胃的；令人振奋的
pique 使愤怒；激起，刺激
pirate 盗版，盗用;海岛
pithy 精练的，简洁的
pitiless 没有同情心的
pittance 少量津贴
placate 通过让步以平息抚慰
placebo 安慰性的事物
plagiarize 剽窃，抄袭
plangent 轰鸣的；凄凉的，哀伤的
plastic 可塑的；虚假的，做作的
plateau 高原；稳定时期，平台期
platitude 陈词滥调；缺乏原创性
plausible 看似有理的
pleat 打褶
plentitude 大量
plethora 过量，过剩
pliable 易弯曲的，柔软的；易受影响的，温顺的
pliant 易弯曲的；顺从的
plight 困境
plod 沉重缓慢地走
pluck 敢于面对困难的勇气；弹奏弦乐
plumb 测深度;垂直的，完全的，绝对的，仔细深入地检查；探索，探究
plummet 突然下降
plump 丰满的；鼎力支持，赞不绝口
plunge 突然下降；插入，刺入
polarize 使分开对立，使两极分化
polemic 争执
polished 有教养的；擦亮的
politic 精明能干的；合时宜的，明智的
pompous 浮夸的；傲慢的
