entangle 使卷入，使纠缠;使变复杂或困难
enthusiasm 热情，兴趣
entice 诱使,
entrance 进入权，进入许可；使入迷,
entrap 诱骗
entreat 恳求,
enunciate 清晰地说；公开宣布，宣称
ephemeral 短暂的
epic 宏大的，超凡脱俗的
epicure 美食家
epigram 机智的短诗，警句
epilogue 文学作品的结局;戏剧的收场白
epithet 外号，绰号
epitomize 摘要，概括;代表，体现，是的典型范例
equable 脾气、性情温和的
equity 不偏不倚，公平
equivalent 等价的，相等的
equivocate 带有欺骗目的地模棱两可地说，说谎话
erode 侵蚀，慢慢减少
errant 居无定所的；误入歧途的，犯错误的
erratic 善变的；异常的，不同寻常的
erudite 博学的
escalate 使战争等升级，扩大
eschew 刻意避开；戒绝
esoteric 深奥难懂的;少数人知道的
espouse 支持；拥护；与结婚,
esteem 尊重,
estimable 值得尊敬的
estrange 使疏远，离间，使感情失和,,
etch 蚀刻；留下深刻印象，铭记
eternal 永恒的,,
ethereal 轻巧精致的,;天国的；非物质的，精神上的,
ethics 道德规范
eulogize 称赞，颂扬
euphemism 婉言，委婉的说法
euphonious 悦耳的
euphoria 感觉极其愉快
evacuate 撤空;撤退
evanescent 逐渐消失的，短暂的
evasive 难以发现，捕捉，分离的；含糊其辞的
everlasting 永恒的，持久的
evict 赶出，逐出
evince 表明
evoke 唤起，引发
exacerbate 使加剧，使恶化
exacting 严格的，苛求的；费时间花心思的,,
exalt 提升，提拔；赞扬
exasperate 激怒
excavate 挖掘，挖空
exceptional 例外的，特别的，非凡的,
excoriate 严厉批评
excrete 排泄
excruciate 折磨，使痛苦
exculpate 声明无罪；开脱，使无罪
excursive 离题的；散漫的
execrate 谴责；痛恨
exemplary 榜样的，值得效仿的;作为警告的
exempt 使免除
exhaust 耗尽;使筋疲力尽
exhilarate 使高兴；使兴奋,
exhort 敦促，力劝
exigent 紧急的
exodus 大批离去
exonerate 免除责备
exorbitant 过度的
exotic 外来的，不同寻常的
expansive 广阔的；健谈的，外向的,,
expedite 加快进程
expedition 动作迅速
expiate 赎罪，纠正
expire 断气，死亡；到期
explicit 表达清晰的；成熟的，完全形成的
exploit 英雄行为；最大程度地利用
exponent 倡导者，支持者；实践者，典型代表
expurgate 净化书等，删去不当处
exquisite 成都强烈的；精致精巧的
extant 现存的,
extemporize 即兴表现
extenuate 减轻罪过
extinct 灭绝的
extinguish 熄灭；终止
extol 赞美；吹捧
extort 勒索,
extract 用力拔出
extraction 血统,
extraneous 无关的；非主要因素的
extravagant 挥霍的;过度的，不必要的
extricate 使解脱，救出
exuberant 非常高兴的，热情洋溢的;大量的，充分的
exude 分泌，流出
exult 感到欢喜
fable 寓言故事；神话，传说；谎言，虚构
fabricate 捏造；搭建，组建，打造
facetious 喜欢开玩笑的，轻浮的
facile 表面的，浅尝辄止的;容易的，唾手可得的
facilitate 使变容易，促进
faction 派系
fallacious 谬误的，不合逻辑的；欺骗性的
fallow 休耕的；闲置的
fail-safe 保险措施；万无一失的
