prowess 英勇，勇敢,
prowl 潜行于，巡游以猎取食物，徘徊
prude 过分正经的人一个过分关心自己是否得体、谦逊、或正确的人
prudent 明智的，小心谨慎的，审慎的
prudish 过分守礼的
prune 梅干；修剪；修正
pry 刺探，打听;
pseudonym 假名，笔名
psychology 心理学；心理战术
pucker 撇嘴，使收缩
puckish 淘气的，顽皮的,
puerile 幼稚的，不成熟的
puissance 权力
pulchritude 美丽
pulverize 将研磨成粉；将彻底摧毁
pun 双关语
punctilious 注意细节的，一丝不苟的
pundit 权威人士，专家
pungent 辛辣的，讽刺的
puny 微小的，弱小的,
purity 纯净；纯洁，纯在,
purlieu 常去的地方；临近的地区
purloin 偷窃
purvey 大量供给，供应
pusillanimous 懦弱的，胆小得令人鄙视的
quack 骗子医生，江湖郎中
quaff 大口地喝
quail 胆怯，畏缩,
qualify 限定；使有资格，使有能力
quandary 困惑，窘境,
quarantine 隔离
quarry 采石场;目标，猎物
quash 镇压，阻止
quaver 发颤音
quell 压制；使平静，使安静
quench 熄灭；使满足
querulous 抱怨的，爱发牢骚的
quibble 吹毛求疵;牵强之词微不足道的差别或不切中要点的异议，小反对
quiescent 平静的，静止的,
quixotic 不切实际的，空想的
quota 配额，限额
quotidian 每日的，平凡的
rabble 混乱的人群；暴民；下层群众
rabid 狂热的，不冷静的
racy 活泼生动的
raffish 低俗的
raffle 垃圾，废物,
rage 暴怒
ragged 衣衫褴褛的；凹凸不平的，不光滑的
rail 猛骂，猛烈抨击
rakish 放荡的，行为不检的
ramble 漫步，漫游；漫谈，长篇大论并经常离题地说或写
rambunctious 喧闹的，骚乱的
ramshackle 摇摇欲坠的
rancor 敌意，深仇
random 随机的，随意的
rankle 激怒
rant 尤指长时间的训斥，责骂；怒吼,
rapacious 食量大的，贪食的；过度贪婪的
rapport 和睦，友好
rapprochement 和睦，友好
rapscallion 流氓，恶棍
rapt 狂喜的，狂热的；全神贯注的
rarefy 使稀薄
rash 草率的，仓促的
raspy 声音刺耳的；容易生气的
ratify 官方地认可，批准
ratiocination 推理
ration 定额供应量，配给量；按比例分配
rational 合乎逻辑的；理性的
rave 狂热赞扬；发疯般的怒吼
ravel 解开，松开；阐明;使纠缠，使复杂化
ravish 使陶醉，使沉迷
raze 摧毁，粉碎
react 做出反应
reactionary 反对改革的，极保守的
ream 怒斥，训斥
reap 收割，收获
reassure 使安心，打消疑虑
rebuff 严词拒绝
recalcitrant 顽抗的，不顺从的
recant 撤回，放弃，改变
recessive 基因等隐性的，由隐性基因控制的；内向的，内敛的
recidivate 回到原先的习惯，尤指重新犯罪
reciprocate 往复运动;报答，回报
reckless 不考虑后果的，大胆鲁莽的
recluse 隐士；隐居的，不爱社交的
recoil 退却，畏缩
reconcile 使和解，协调
recondite 深奥的，难解的
reconnoiter 侦察，勘查
reconstitute 重建，尤其是通过加水使复原
reconvene 重新集合，重新召集
rectitude 正直
recumbent 躺着的
recuperate 恢复健康或力量，康复
redolent 芳香的
redoubtable 杰出的，值得尊敬的;可怕的
redundant 多余的，冗余的
reel 感到眩晕；蹒跚地走路
