impugn 责难，攻击，抨击
impuissance 无权，虚弱
inadvertent 偶然发生的；疏忽的，不留意的
inalienable 不可剥夺的，不能让与的
inane 空洞的
inanimate 无生命的
inaugurate 使就职；开始
incandescent 明亮灿烂的；热情饱满的，感情强烈的
incantation 咒语
incarnate 化身的，人性化的；使思想、理论具化，体现
incendiary 煽动者；煽动性的
incense 芳香；激怒
inception 开端，开始
incessant 无间断的
inch 少量，很短的距离；使慢慢移动
inchoate 新生的，才开始的；未完全成型的
incinerate 将烧成灰烬
incipient 起初的，初现的
incite 煽动，激起
inclement 天气等恶劣的；无情的，残酷的
incogitant 考虑不周到的，不体谅的
incongruent 不全等的；不一致的
inconsequential 不合逻辑的；不重要的
incontrovertible 无可争议的
incorrigible 不可救药的，积习难改的；无法管制的
incriminate 归罪于
incubate 孵化；帮助，培养，促进
inculpate 归罪于
incursion 入侵
indelible 印记等无法擦除的;无法忘怀的
indemnity 损害、伤害等的保险赔偿
indict 起诉，控告
indifferent 公平的；质量、档次等中规中矩的，一般的；不感兴趣的，冷漠的
indigenous 土产的，本地的；与生俱来的，先天的
indigent 贫穷的
indispensable 必不可少的，不可或缺的
indoctrinate 教育，灌输思想
indolent 懒惰的
inducement 动机，刺激源；劝说，游说
indulgent 对己放纵的，对他人纵容的
indurate 铁石心肠的，冷酷无情的；使变硬；使习惯于如艰苦或尴尬之境况
industrious 勤勉的
ineffable 难以表达的
ineluctable 无法逃避的，必然的
inept 愚笨的，荒谬的;不恰当的，不合时宜的；不称职的，无能力的
inert 人懒惰缺乏活力的；物品惰性的,
inevitable 不可避免的，必然的
inexorable 无法劝阻的，不为所动的
infamous 臭名昭著的
infatuate 使迷恋
inferno 大火；地狱
infiltrate 秘密潜入
infinite 无尽的，无限的
infirm 虚弱的;不果断的，优柔寡断的
inflame 点燃，燃烧;使加剧
infelicitous 不愉快的，不幸的；不恰当的，不合时宜的
influx 涌入
infuriate 激怒
infuse 灌输，使充满，鼓舞
ingenious 聪明的，有创造才能的,
ingenuity 独创性，创新性
ingenuous 天真纯朴的；坦白的
ingest 摄入，咽下
ingrained 本质的，根深蒂固的
ingratiating 讨人喜欢的；逢迎的，意在奉承的
inherent 内在的，本质的
inimical 带有敌意的；危及某人利益的，不利的
inimitable 无法效仿的，独特的
iniquity 邪恶，不公正,
initiate 创造，发动促进；刚入门的新手
inkling 轻微暗示，小提示；略知
innocuous 无害的；乏味的，不会引起敌意的
innovative 创新性的
inquisitive 过分好奇的
insensible 无知觉的；漠不关心的；粗俗的，没品味的
insensitive 缺乏机智圆滑的，缺乏社交技巧的；不敏感的，麻木的
insentient 无感觉的，无知觉的；一知半解的，略懂的
insight 深刻的理解
insipid 食品清淡无味的；平淡的，无聊的
insolent 粗野的，无礼的
insouciant 无忧虑的，不在乎的
instate 任命
instigate 煽动，激起,
instill 慢慢滴入；灌输
institute 创立，制定；机构
insubordinate 不服从权威的
insular 观念、想法等孤立狭隘的
insulate 使绝缘，使隔离
insurgent 叛乱分子
intangible 无法感知的，无形的
integral 构成整体所必需的；完整的
integrity 正直；完整性
intelligible 可理解的
intemperate 无节制的，极端的，不温和的
intensify 加强，激化
inter 埋葬
intercessor 调停者
interdict 禁止；阻止,
interim 中间过渡时期，间隔;暂时的
interlock 连锁，连结
