riveting 吸引人的，极迷人的
rivulet 小河，小溪
robust 精力充沛的，强壮的，健康的
roil 搅浑，使混乱；激怒
roisterer 喝酒喧闹的人
rookie 新兵；新生；菜鸟
roster 值勤表，花名册
rostrum 讲坛，演讲坛
rouse 激起，煽动；唤醒
royalty 皇家身份；版税；专利权税
rubicund 红润的，健康的
rudimentary 初始的，未发展的；最根本的，基础的
rue 后悔，遗憾
ruffle 皱褶，褶裥花边；使粗糙；扰乱，打扰
ruminate 沉思
rumple 使皱，弄皱；打乱，使不整齐
run 不间断的连续演出
runic 神秘的
rupture 打破；打碎，破裂
ruse 诡计
rustic 乡下人，头脑简单的人；乡村的；粗俗的
rustle 快速地行动
sabotage 妨害，破坏;从事破坏活动，阻止
saccharine 像糖一样的，有甜味的；做作的，矫情的
sacrilege 亵渎圣物
saddle 使某人负担
safeguard 保护措施；保护
sage 智者
salient 显著的，最突出的
salubrious 有益健康的
salutary 有益健康的；有利的，利好的
salutation 致敬，打招呼表示欢迎和礼貌；赞扬
salvage 从灾难中抢救
salve 减轻缓解
sanctify 使神圣，将敬为神
sanctimonious 假装虔诚的
sanction 批准，同意，许可；制裁
sanctuary 避难所
sand 磨光
sanguine 乐观的，确信的;面色红润的
sanitary 健康的，清洁的
sap 削弱;健康，活力
sapient 聪明的，有洞察力的,
sarcasm 讽刺，轻蔑
sartorial 裁缝匠的，裁缝的
sate 使饱足，充分满足
satiate 使饱足的，过分满足的
satire 讽刺诗，讽刺文学
satirize 讽刺
saturate 使饱和，浸透
saturnine 忧郁的，阴沉的;讽刺的
saunter 闲逛，漫步
savant 博学之士，学者
savory 口感好的，味道好的;令人愉悦的，
savvy 老练，机智;明确了解;有见识的，精明能干的
scads 许多，大量
scant 不足的，缺乏的
scathing 尖酸刻薄的
schism 不一致
scintillate 闪耀
scion 子孙
scission 切断，分离，分裂
scoff 嘲笑;狼吞虎咽
scorch 炙烤，烘干,
scorn 轻蔑，鄙视，不屑
scotch 停止
scour 用力擦洗；搜查
scowl 皱眉表现出不高兴
scrappy 好斗的，好吵架的
scrap 废料，废物;抛弃;终止，放弃原计划
scrawl 乱涂，潦草地写
scribble 潦草地书写，乱写
scrupulous 正直的；一丝不苟的
scrutable 可以理解的
scrutinize 仔细检查
scuff 使磨损;脚步拖沓
scurrilous 说粗话的
scurvy 下流的，让人鄙视的
seamy 肮脏的，堕落的
secluded 僻静的，隐蔽的
secrete 隐藏；分泌
sedate 淡定的，安静的
sedentary 固定不动的
seduce 劝说使不忠，使不服从，诱误入歧途
sedulous 勤奋认真的
seemly 得体的，遵守礼节的
segment 分割；部分
self-abasement 自卑，自谦
self-absorbed 自恋的，自私的
seminal 有发展性的，创新的
sensation 感觉，知觉；轰动事件
sensitive 敏感的
sentinel 哨兵，看守
sepulchral 阴沉的，丧葬的
septic 腐败的，感染的
sequela 结果
sequester 使隔离，分离；使隐退
sere 干枯的，凋萎的,
serendipity 意外发现珍奇或称心事物的本领
serene 安静的;稳重的，镇静的,
