harsh 粗糙的，不具有美感的；严厉的
hasten 促进,
hasty 轻率的
haunt 常去拜访；不断地想起，萦绕心头
hauteur 傲慢，自大
haven 安全的地方
havoc 大混乱;大范围破坏
headlong 鲁莽的
hearken 倾听，关注
hearten 给予鼓励，鼓舞,
heartrending 令人心碎的
hedonism 享乐主义
hegemony 霸权，统治权
heinous 可憎的，十恶不赦的
hew 遵守;支持
herald 告知，宣布；预示，预兆
heresy 异教，和普遍观点相悖的说话
heretical 异教的，异端邪说的
hermetic 深奥的
hesitance 犹豫，不情愿,
heterodox 非正统的，异端的
hidebound 死板的，极度保守的
hideous 非常丑陋的
hie 匆匆忙忙
hike 使上涨
hilarious 非常好笑的
histrionic 戏剧的，演员的
hive 忙碌之地；储备，积累
hoard 贮藏，秘藏
hoary 极老的
hoax 欺骗
hodgepodge 大杂烩
homage 尊敬，敬意
homely 其貌不扬的，朴素简单的
homily 冗长乏味的道德演讲或训诫
homogenize 使统一化
hone 磨快
hoodwink 欺骗
hortative 鼓励的
hovel 茅屋
hubris 狂妄自大,
humble 谦逊的;顺从的，谦卑的
humility 谦卑，谦逊
humor 幽默，令人发笑的事物;迎合，迁就
hurricane 飓风；飓风般的事物，引起动荡的事物
husband 节俭，勤俭持家
husk 果类或谷物的外壳；剥去
husky 尤指声音沙哑的，粗糙的；高大威猛的
hybrid 杂交品种，混合品种；杂交的
hymn 赞歌，赞美诗;赞美
hyperbole 夸张
hypnotic 催眠的
hypocritical 虚伪的
iconoclast 特立独行的人
idolatrize 通常盲目崇拜
idyll 无忧无虑的生活
ignite 点燃;激起，唤起感情
ignominy 耻辱
illiteracy 文盲
illuminati 智者；精英
illuminate 照明；阐明；启迪，启发
illusory 幻觉的，虚幻的
imbibe 喝水，摄取水分
imbroglio 困境，复杂的局面；纷争
imitation 仿制品
immaculate 干净的，纯净的;完美的，没有任何错误的
immanent 内在的
immaterial 非实体的；无关的，不重要的
immature 未完全发展的，未发育成熟的;思维、举止不够成熟的
immemorial 古老的
immune 不易被感染的，有免疫力的；不受影响的；不受约束的，免除的
immure 监禁，禁闭；使闭门不出
immutable 不可变的
impassive 冷漠的，无感情的
impeccable 无罪的;无暇的，无可挑剔的
impecunious 贫穷的
impede 妨碍，阻碍
impending 即将发生的
impenetrable 不可渗透的，不可穿透的；难以理解的
impenitent 不悔悟的
imperative 命令;命令的，强制性的；迫切的;必要的
imperial 帝国的，帝王的；巨大的，令人惊叹的
imperious 爱发号施令的；傲慢的，专横的；迫切的
impertinent 无关紧要的;粗鲁无礼的，大胆的；不守礼节的，不为他人着想的
imperturbable 沉着冷静的，淡定的
impervious 不可渗透的，不可穿透的;不能被破坏的；不为所动的
impetuous 冲动的，性急的，轻率的；剧烈的，猛烈的
impious 不敬神的
implacable 固执的；无法平息的
implement 工具；执行，实施
implode 使剧烈收缩，使坍塌，使内爆
importune 恳求，迫切请求
imposing 宏伟壮丽的
impostor 冒充者
impotent 无生育能力的；无力的，无能的
imprecise 不精确的
impromptu 即席的表演:；即席的，即兴的
improvise 即兴而作
imprudent 不明智的
impudent 放肆大胆的，无礼的
